Time, Distance From Path, Angle From Next Waypoint
4.152736, 0.06695093, 0
4.167539, 0.121889, 0
4.18426, 0.1842425, 0
4.200904, 0.2465867, 0
4.217479, 0.3089614, 0
4.234241, 0.3723104, 0
4.250917, 0.4356143, 0
4.267933, 0.5004811, 0
4.284295, 0.563098, 0
4.300704, 0.6261164, 0
4.317932, 0.6924999, 0
4.334778, 0.7576183, 0
4.350674, 0.819216, 0
4.367377, 0.8840733, 0
4.38426, 0.9496942, 0
4.401106, 1.015244, 0
4.417437, 1.078835, 0
4.434377, 1.144845, 0
4.450681, 1.208398, 0
4.467528, 1.274068, 0
4.484335, 1.339567, 0
4.500726, 1.403419, 0
4.517882, 1.47022, 0
4.534273, 1.534002, 0
4.551661, 1.601619, 0
4.567481, 1.663102, 0
4.584215, 1.728103, 0
4.60123, 1.794171, 0
4.617564, 1.857572, 0
4.634796, 1.92443, 0
4.650841, 1.986677, 0
4.667929, 2.052961, 0
4.684834, 2.118534, 0
4.701205, 2.182035, 0
4.719657, 2.253627, 0
4.73451, 2.311264, 0
4.750674, 2.373991, 0
4.767455, 2.43913, 0
4.784393, 2.504898, 0
4.801058, 2.569615, 0
4.817655, 2.634084, 0
4.834079, 2.697896, 0
4.850894, 2.763235, 0
4.868006, 2.82974, 0
4.884388, 2.893416, 0
4.900587, 2.956395, 0
4.917516, 3.022225, 0
4.934269, 3.087382, 0
4.950611, 3.150947, 0
4.967918, 3.218279, 0
4.98431, 3.282059, 0
5.000806, 3.346251, 0
5.018647, 3.415683, 0
5.034282, 3.476535, 0
5.050964, 3.541476, 0
5.067408, 3.6055, 0
5.084554, 3.672263, 0
5.100757, 3.735366, 0
5.117594, 3.800951, 0
5.134225, 3.865733, 0
5.15097, 3.930965, 0
5.167664, 3.996011, 0
5.184234, 4.06058, 0
5.200844, 4.12531, 0
5.217533, 4.190357, 0
5.234007, 4.254578, 0
5.250885, 4.320379, 0
5.267618, 4.385625, 0
5.284625, 4.451943, 0
5.300738, 4.514788, 0
5.317903, 4.581734, 0
5.334136, 4.645052, 0
5.350826, 4.645052, 0
5.367602, 4.645052, 0
5.384362, 4.645052, 0
5.400697, 4.645052, 0
5.4174, 4.645052, 0
5.434192, 4.645052, 0
5.450959, 4.645052, 0
5.46718, 4.645052, 0
5.484328, 4.645052, 0
5.500967, 4.645052, 0
5.517471, 4.645052, 0
5.534159, 4.645052, 0
5.550827, 4.645052, 0
5.567414, 4.645052, 0
5.584245, 4.645052, 0
