Time, Distance From Path, Angle From Next Waypoint
3.765754, 0.01660829, 0
3.794692, 0.06138349, 0
3.830743, 0.1193789, 0
3.864554, 0.1765652, 0
3.895106, 0.229633, 0
3.930873, 0.292763, 0
3.965336, 0.3537619, 0
3.996898, 0.4093305, 0
4.032049, 0.4711919, 0
4.081472, 0.5514432, 0
4.11419, 0.5937148, 0
4.145707, 0.6225763, 0
4.17623, 0.6478456, 0
4.23332, 0.6965776, 0
4.260252, 0.7203556, 0
4.299724, 0.7564137, 0
4.348698, 0.8023664, 0
4.379285, 0.8312678, 0
4.416381, 0.8666389, 0
4.444301, 0.8937846, 0
4.498667, 0.9469058, 0
4.529773, 0.9770483, 0
4.560363, 1.00664, 0
4.600486, 1.045591, 0
4.633922, 1.07814, 0
4.664513, 1.107526, 0
4.713501, 1.153505, 0
4.743657, 1.153505, 0
4.782794, 1.153505, 0
4.814703, 1.153505, 0
4.842501, 1.153505, 0
4.881368, 1.153505, 0
4.929471, 1.153505, 0
4.962773, 1.153505, 0
4.992476, 1.153505, 0
5.031082, 1.153505, 0
5.060232, 1.153505, 0
5.098227, 1.153505, 0
5.126707, 1.153505, 0
5.160022, 1.153505, 0
5.197748, 1.153505, 0
5.22821, 1.153505, 0
5.26507, 1.153505, 0
5.29742, 1.153505, 0
5.330447, 1.153505, 0
5.360514, 1.153505, 0
5.397873, 1.153505, 0
5.425938, 1.153505, 0
5.465846, 1.153505, 0
5.498818, 1.153505, 0
5.532139, 1.177345, 0
5.565366, 1.20103, 0
5.595446, 1.222769, 0
5.630842, 1.248639, 0
5.667036, 1.275016, 0
5.695314, 1.29558, 0
5.729313, 1.320011, 0
5.78212, 1.357041, 0
5.808991, 1.375797, 0
5.846192, 1.401707, 0
5.880698, 1.425745, 0
5.915018, 1.449659, 0
5.943716, 1.469694, 0
5.997651, 1.507218, 0
6.033355, 1.531939, 0
6.064573, 1.553462, 0
6.099351, 1.553462, 0
6.133115, 1.553462, 0
6.166336, 1.553462, 0
6.215911, 1.553462, 0
6.248464, 1.553462, 0
6.277296, 1.553462, 0
6.310852, 1.553462, 0
6.344624, 1.553462, 0
6.381331, 1.553462, 0
6.431939, 1.553462, 0
6.459208, 1.553462, 0
6.492284, 1.553462, 0
6.525799, 1.553462, 0
6.564511, 1.553462, 0
6.598531, 1.553462, 0
6.630049, 1.553462, 0
6.66379, 1.553462, 0
6.695305, 1.563703, 0
6.731753, 1.570042, 0
6.766064, 1.566016, 0
6.798268, 1.529979, 0
6.828829, 1.21883, 0
6.864081, 1.190637, 0
6.897379, 1.152992, 0
6.926062, 1.114537, 0
6.96064, 1.064659, 0
6.993167, 1.017264, 0
7.047659, 1.008402, 0
7.082998, 1.011788, 0
7.11498, 1.017026, 0
7.150354, 1.027554, 0
7.179346, 1.038126, 0
7.215094, 1.050863, 0
7.262867, 1.068568, 0
7.297697, 1.080666, 0
7.331553, 1.092694, 0
7.365906, 1.102087, 0
7.395462, 1.108379, 0
7.426992, 1.115168, 0
7.481134, 1.128931, 0
7.513695, 1.138446, 0
7.546979, 1.15034, 0
7.581093, 1.187698, 0
7.612914, 1.255039, 0
7.648252, 1.359379, 0
7.698162, 1.523271, 0
7.726607, 1.621227, 0
7.758911, 1.738482, 0
7.798108, 1.884479, 0
7.830478, 2.005982, 0
7.864662, 2.132967, 0
7.915389, 2.310273, 0
7.945744, 2.40775, 0
7.975219, 2.490781, 0
8.016145, 2.585667, 0
8.045235, 2.648388, 0
8.081477, 2.727343, 0
8.131855, 2.839573, 0
8.164715, 2.914481, 0
8.194871, 2.984148, 0
8.23301, 3.071929, 0
8.265713, 3.146867, 0
8.294767, 3.212935, 0
8.342333, 3.320137, 0
8.381424, 3.408177, 0
8.41591, 3.485505, 0
8.466714, 3.59912, 0
8.480842, 3.630736, 0
8.510034, 3.69553, 0
8.567158, 3.810279, 0
8.596496, 3.866127, 0
