Time, Distance From Path, Angle From Next Waypoint
4.684856, 0.01653405, 0
4.701654, 0.03328853, 0
4.718534, 0.05005774, 0
4.735157, 0.06646527, 0
4.751019, 0.08194482, 0
4.768093, 0.09833253, 0
4.785025, 0.1141355, 0
4.801887, 0.1294647, 0
4.818559, 0.1441646, 0
4.834656, 0.1579114, 0
4.852013, 0.1722464, 0
4.869368, 0.1860913, 0
4.886374, 0.1991831, 0
4.902011, 0.2107831, 0
4.91849, 0.2225772, 0
4.935536, 0.2343317, 0
4.951888, 0.2452135, 0
4.968234, 0.2556528, 0
4.985, 0.2659, 0
5.001898, 0.2757628, 0
5.018328, 0.2848471, 0
5.034702, 0.2933978, 0
5.051718, 0.3018682, 0
5.068272, 0.3096813, 0
5.085661, 0.3173761, 0
5.102084, 0.3241805, 0
5.118037, 0.330391, 0
5.135056, 0.3365809, 0
5.151648, 0.3422319, 0
5.168017, 0.3474551, 0
5.185285, 0.3526284, 0
5.201319, 0.3571823, 0
5.217967, 0.3617083, 0
5.234782, 0.3661547, 0
5.251999, 0.3705834, 0
5.268385, 0.3747221, 0
5.28547, 0.3789634, 0
5.302408, 0.383132, 0
5.318466, 0.387022, 0
5.335613, 0.3911335, 0
5.351998, 0.3949912, 0
5.368561, 0.3988168, 0
5.384876, 0.4024834, 0
5.402618, 0.4063126, 0
5.418114, 0.4094931, 0
5.434845, 0.4094931, 0
5.451635, 0.4094931, 0
5.467886, 0.4094931, 0
5.485078, 0.4094931, 0
5.502268, 0.4094931, 0
5.518691, 0.4094931, 0
5.534832, 0.4094931, 0
5.551596, 0.4094931, 0
5.568222, 0.4094931, 0
5.584833, 0.4094931, 0
5.601261, 0.4094931, 0
5.617939, 0.4094931, 0
5.63473, 0.4094931, 0
5.651713, 0.4094931, 0
5.668868, 0.4094931, 0
5.684721, 0.4094931, 0
5.701855, 0.4094931, 0
5.718319, 0.4094931, 0
5.735088, 0.4094931, 0
5.751949, 0.4094931, 0
5.768735, 0.4094931, 0
5.785104, 0.4094931, 0
5.801529, 0.4094931, 0
5.818477, 0.4094931, 0
5.834934, 0.4094931, 0
5.851734, 0.4094931, 0
5.86837, 0.4094931, 0
5.884895, 0.4094931, 0
5.901419, 0.4094931, 0
5.918246, 0.4094931, 0
5.935117, 0.4094931, 0
5.951751, 0.4094931, 0
5.967795, 0.4094931, 0
5.984936, 0.4094931, 0
6.001275, 0.4094931, 0
6.018135, 0.4094931, 0
6.035608, 0.4094931, 0
6.051727, 0.4094931, 0
6.06836, 0.4094931, 0
6.085116, 0.4094931, 0
6.101197, 0.4086867, 0
6.118402, 0.4078478, 0
6.134993, 0.4070376, 0
6.15167, 0.4062447, 0
6.168333, 0.4054569, 0
6.184981, 0.4046893, 0
6.202267, 0.4039062, 0
6.218433, 0.4031469, 0
