Time, Distance From Path, Angle From Next Waypoint
0.01897926, 0, -24.96494
0.03795851, 0, -24.98724
0.05795851, 0, -24.78557
0.07042924, 0, -24.79687
0.08567192, 0, -24.794
0.1026755, 0, -24.80402
0.118785, 0, -24.8089
0.1354361, 0, -24.84396
0.1517923, 0, -24.81118
0.1689003, 0, -24.81268
0.1855625, 0, -24.81722
0.2016928, 0, -24.82818
0.2184029, 0, -24.87143
0.2339549, 0, -24.91656
0.2506867, 0, -24.9394
0.2677066, 0, -24.98827
0.284379, 0, -25.00997
0.3007315, 0, -25.05729
0.3173961, 0, -25.07949
0.3344401, 0, -25.09927
0.350441, 0, -25.1194
0.3677632, 0, -25.14782
0.3839079, 0, -25.16661
0.4008758, 0, -25.18565
0.4174778, 0, -25.20612
0.4345329, 0, -25.16528
0.4509201, 0, -25.16099
0.4678963, 0, -25.12007
0.4851235, 0, -25.07398
0.5013934, 0, -25.02351
0.5181999, 0, -25.00845
0.534052, 0, -24.96109
0.5509702, 0, -24.95858
0.5676348, 0, -24.97327
0.5838675, 0, -24.96461
0.600893, 0, -24.97111
0.6174796, 0, -24.97075
0.6340352, 0, -24.97047
0.6506984, 0, -24.95112
0.6674942, 0, -24.93541
0.6843383, 0, -24.93591
0.7013809, 0, -24.94637
0.7172789, 0, -24.92853
0.7340033, 0, -24.93148
0.7513107, 0, -24.95656
0.767671, 0, -24.94604
0.7841066, 0, -24.94054
0.8005666, 0, -24.93589
0.8177024, 0, -24.92168
0.8344932, 0, -24.91028
0.8508048, 0, -24.89174
0.8672969, 0, -24.87066
0.8840222, 0, -24.84757
0.9007735, 0, -24.83215
0.9176232, 0, -24.84441
0.93401, 0, -24.82082
0.9515256, 0, -24.75783
0.9678827, 0, -24.64084
0.9849128, 0, -24.53329
1.001245, 0, -24.42593
1.017873, 0, -24.31947
1.034402, 0, -24.2539
1.051603, 0, -24.20666
1.067442, 0, -24.17776
1.083917, 0, -24.15797
1.100585, 0, -24.2047
1.118169, 0, -24.24448
1.134946, 0, -24.29327
1.151304, 0, -24.32792
1.168005, 0, -24.35271
1.184577, 0, -24.35715
1.200923, 0, -24.34368
1.217258, 0, -24.28844
1.234151, 0, -24.22095
1.251398, 0, -24.12331
1.267373, 0, -24.01343
1.2839, 0, -23.91947
1.301195, 0, -23.80283
1.317661, 0, -23.6831
1.334204, 0, -23.56581
1.350595, 0, -23.45702
1.368073, 0, -23.30511
1.384058, 0, -23.1915
1.400306, 0, -23.05442
1.417057, 0, -22.95058
1.434286, 0, -22.8442
1.450611, 0, -22.71883
1.467625, 0, -22.57101
1.484351, 0, -22.35905
1.501053, 0, -22.05557
