Time, Distance From Path, Angle From Next Waypoint
0.02017346, 0, -13.10773
0.04034692, 0, -13.23456
0.06034692, 0, -14.42184
0.07296374, 0, -14.3156
0.08676038, 0, -14.2099
0.103201, 0, -14.0881
0.1200209, 0, -14.42229
0.136475, 0, -15.11656
0.1535834, 0, -15.60657
0.1698269, 0, -16.14215
0.1872761, 0, -16.42233
0.2029251, 0, -16.43182
0.2192878, 0, -16.20515
0.2359755, 0, -16.22876
0.2527686, 0, -16.1515
0.2699262, 0, -16.04143
0.286747, 0, -15.87129
0.3040187, 0, -15.74879
0.3199102, 0, -15.64583
0.3364046, 0, -15.6497
0.3530395, 0, -15.68318
0.3701465, 0, -15.75577
0.3864688, 0, -15.79565
0.4027281, 0, -15.90637
0.419414, 0, -16.03856
0.4360549, 0, -16.16959
0.4529686, 0, -16.2498
0.4697412, 0, -16.28738
0.4875536, 0, -16.36925
0.5033157, 0, -16.40065
0.5192833, 0, -16.43823
0.5362512, 0, -16.44736
0.5528782, 0, -16.4696
0.5693851, 0, -16.32434
0.5862867, 0, -16.16597
0.6024629, 0, -16.0699
0.6194419, 0, -16.02402
0.6361051, 0, -16.00406
0.6529102, 0, -16.0864
0.6699658, 0, -16.14453
0.6868832, 0, -16.23122
0.7040254, 0, -16.30048
0.7197212, 0, -16.40099
0.7363732, 0, -16.49358
0.7534956, 0, -16.53761
0.7695257, 0, -16.63156
0.7860609, 0, -16.71156
0.8027093, 0, -16.79114
0.8193948, 0, -16.8586
0.8367416, 0, -16.93103
0.8529679, 0, -17.02809
0.8694248, 0, -17.12637
0.8862669, 0, -17.23491
0.9030159, 0, -17.30405
0.9198307, 0, -17.34566
0.9359356, 0, -17.39186
0.9527161, 0, -17.42003
0.96921, 0, -17.47398
0.9860861, 0, -17.49597
1.002993, 0, -17.51096
1.019581, 0, -17.53598
1.036086, 0, -17.53543
1.052744, 0, -17.5631
1.070128, 0, -17.58104
1.086229, 0, -17.60617
1.103238, 0, -17.63623
1.11983, 0, -17.6478
1.137128, 0, -17.65775
1.15273, 0, -17.64293
1.169394, 0, -17.60767
1.186184, 0, -17.59392
1.202925, 0, -17.54213
1.219638, 0, -17.50127
1.236578, 0, -17.47537
1.252885, 0, -17.42828
1.269334, 0, -17.39069
1.286609, 0, -17.33983
1.302713, 0, -17.30995
1.319401, 0, -17.2717
1.336547, 0, -17.26508
1.353095, 0, -17.24475
1.369926, 0, -17.24026
1.386497, 0, -17.23561
1.403165, 0, -17.25369
1.419995, 0, -17.25439
1.436534, 0, -17.26212
1.45292, 0, -17.23723
1.46973, 0, -17.21927
1.48665, 0, -17.1908
1.502659, 0, -17.17841
1.519324, 0, -17.1638
1.53667, 0, -17.1371
1.55312, 0, -17.11441
1.569483, 0, -17.08667
1.586181, 0, -17.07718
1.602642, 0, -17.07298
1.620204, 0, -17.07468
1.637348, 0, -17.07411
1.654452, 0, -17.06064
1.671227, 0, -17.04504
1.687055, 0, -17.03192
1.70328, 0, -17.0275
1.719896, 0, -17.0067
1.737068, 0, -17.0014
1.753911, 0, -16.97398
