Time, Distance From Path, Angle From Next Waypoint
0.01942679, 0, -4.607735
0.03885358, 0, -4.490158
0.05885358, 0, -0.3908691
0.07931226, 0, -0.1210175
0.09404711, 0, 0.01290894
0.1107845, 0, 0.3538208
0.1270271, 0, 0.5323029
0.14363, 0, 0.5233459
0.1604323, 0, 0.5032501
0.1791203, 0, 0.3816223
0.2106116, 0, 0.1643066
0.2276124, 0, 0.07002258
0.2440303, 0, 0.01753235
0.260545, 0, -0.05197144
0.2774118, 0, -0.1397095
0.2940769, 0, -0.1961365
0.3105842, 0, -0.2256775
0.3274881, 0, -0.2848358
0.3442798, 0, -0.3153992
0.3606374, 0, -0.3534851
0.3770909, 0, -0.3596954
0.3940315, 0, -0.4196777
0.4107842, 0, -0.4641571
0.4269214, 0, -0.456955
0.4436255, 0, -0.4421844
0.4603897, 0, -0.4334717
0.4769017, 0, -0.3991699
0.4940788, 0, -0.3987274
0.5107299, 0, -0.3901825
0.5273319, 0, -0.3867645
0.5444932, 0, -0.3594055
0.5605901, 0, -0.3375702
0.5769603, 0, -0.3267822
0.5939018, 0, -0.2926636
0.6103145, 0, -0.29245
0.6268808, 0, -0.2469635
0.643607, 0, -0.2131042
0.6619862, 0, -0.1311493
0.676849, 0, -0.06341553
0.6938995, 0, 0.008346558
0.7112305, 0, 0.001525879
0.7278913, 0, -0.1873474
0.7441204, 0, -0.2925415
0.7604126, 0, -0.2985535
0.7772687, 0, -0.2504272
0.794123, 0, -0.2193451
0.8105942, 0, -0.1941376
0.8274907, 0, -0.1713867
0.844197, 0, -0.169632
0.860992, 0, -0.2100372
0.8771005, 0, -0.27565
0.8940647, 0, -0.3618469
0.9110516, 0.0006180098, -0.5352173
0.9283357, 0.0014421, -0.7167358
0.9442685, 0.002315324, -0.8407135
0.9607174, 0.003297297, -0.9365387
0.9776101, 0.004311523, -0.9694977
0.9941221, 0.005196659, -0.9035492
1.011413, 0.005962027, -0.7945557
1.028308, 0.006477821, -0.6172485
1.044526, 0.006691072, -0.380188
1.060864, 0.006580714, -0.09829712
1.077183, 0.006155833, 0.1841278
1.093658, 0.005392177, 0.4925079
1.110445, 0.004360903, 0.7359619
1.128096, 0.003009517, 0.9931335
1.14423, 0.001553687, 1.237015
1.160363, 0.0001161857, 1.487152
1.181311, 0.002493259, 1.660934
1.193616, 0.004059457, 1.881729
1.210414, 0.006328558, 2.027573
1.226617, 0.008688878, 2.215912
1.243927, 0.01133283, 2.359497
1.260113, 0.01393673, 2.519135
1.276691, 0.0167509, 2.694168
1.293589, 0.01975811, 2.864624
1.310865, 0.02294735, 3.017868
1.327226, 0.02606125, 3.158401
1.343915, 0.02932128, 3.294022
1.361167, 0.02932128, 3.344299
1.377583, 0.02932128, 3.417145
1.393863, 0.02932128, 3.446808
1.410297, 0.02932128, 3.496323
1.427176, 0.02932128, 3.520172
1.444073, 0.02932128, 3.557404
1.460183, 0.02932128, 3.588394
1.47775, 0.02932128, 3.632675
1.493994, 0.02932128, 3.669922
1.509896, 0.02932128, 3.673157
1.526918, 0.02932128, 3.635284
1.544428, 0.02932128, 3.632874
1.560546, 0.02932128, 3.668701
1.576744, 0.02932128, 3.692841
1.593451, 0.02932128, 3.748627
1.610702, 0.02932128, 3.815323
1.626849, 0.02932128, 3.898193
1.643694, 0.02932128, 4.001648
1.664064, 0.02932128, 4.125885
1.676845, 0.02932128, 4.208603
1.693452, 0.02932128, 4.261337
1.710514, 0.02932128, 4.301468
1.726775, 0.02932128, 4.356995
1.743676, 0.02932128, 4.447113
1.760913, 0.02932128, 4.524734
1.777889, 0.02932128, 4.610641
1.795107, 0.02932128, 4.691635
1.811661, 0.02932128, 4.780838
1.827919, 0.03426915, 4.952454
1.844794, 0.03951587, 5.151321
1.86052, 0.04446131, 5.304443
1.876974, 0.04967717, 5.452255
1.894165, 0.05512768, 5.574966
1.914187, 0.06149689, 5.739731
1.928879, 0.06619028, 5.874252
1.943804, 0.07095962, 5.997238
1.961193, 0.07651489, 6.14444
1.978727, 0.0821115, 6.297348
1.994153, 0.08704401, 6.4506
2.010575, 0.09228938, 6.607422
2.027391, 0.09764027, 6.764038
2.044456, 0.1030328, 6.91761
2.060211, 0.1080119, 7.098152
2.077788, 0.1135477, 7.29454
2.093935, 0.1186234, 7.491577
2.110555, 0.1238244, 7.694946
2.126808, 0.1288773, 7.896576
2.143725, 0.134113, 8.131737
2.160427, 0.139257, 8.377823
2.177467, 0.1444668, 8.635948
2.195357, 0.1499216, 8.951332
2.210561, 0.1545341, 9.226746
2.226684, 0.1593901, 9.531097
2.243748, 0.1645169, 9.903992
2.260616, 0.1695922, 10.32027
2.276647, 0.1744251, 10.75176
2.293675, 0.1795631, 6.847473
2.31032, 0.1845811, 6.956688
2.326841, 0.189566, 7.076286
2.344457, 0.1949361, 7.249382
2.360029, 0.1997018, 7.384628
2.376993, 0.2049466, 7.563278
2.39394, 0.2102244, 7.734947
2.410511, 0.2154502, 7.933624
2.426905, 0.2206493, 8.105446
2.443338, 0.2259091, 8.300438
2.460488, 0.231461, 8.519707
2.477073, 0.2368944, 8.743919
2.493872, 0.2424842, 8.997185
2.510335, 0.2480041, 9.217117
2.527137, 0.253725, 9.488869
2.544271, 0.2596068, 9.739204
2.560651, 0.2653304, 10.03923
2.577212, 0.2711881, 10.32543
2.594359, 0.2773923, 10.68817
2.610575, 0.2833515, 11.01504
2.626809, 0.2833515, 11.07806
2.643341, 0.2833515, 11.09614
2.660081, 0.2833515, 11.09196
2.677384, 0.2833515, 11.10111
2.693349, 0.2833515, 11.12524
2.71041, 0.2833515, 11.14388
2.726703, 0.2833515, 11.1637
2.74382, 0.2833515, 11.17753
2.760166, 0.2833515, 11.20504
2.777817, 0.2833515, 11.22768
2.794425, 0.2833515, 11.21862
2.811133, 0.2833515, 11.20635
2.82833, 0.2833515, 11.16779
2.844513, 0.2833515, 11.16296
2.861723, 0.2833515, 11.1329
2.877325, 0.2833515, 11.11208
2.894264, 0.2833515, 11.0864
2.91211, 0.2833515, 11.07203
2.927359, 0.2833515, 11.04502
2.94487, 0.2897912, 11.29655
2.961636, 0.295913, 11.53738
2.978341, 0.3019525, 11.77532
2.995178, 0.3079599, 12.01217
3.01115, 0.3135629, 12.22821
3.028064, 0.3194219, 12.49979
3.044245, 0.3249698, 12.78607
3.060241, 0.3303788, 13.0667
3.076706, 0.335892, 13.39752
3.093353, 0.3413756, 13.72199
3.110244, 0.3468367, 14.06528
3.126789, 0.352117, 14.45207
3.143298, 0.3573582, 14.90186
3.160631, 0.3628355, 15.41113
3.177033, 0.3680013, 15.93279
3.194266, 0.3734238, 16.53269
3.210694, 0.3785917, 17.15104
3.22742, 0.3838851, 17.85709
3.244092, 0.3892191, 18.63895
3.260458, 0.3945132, 19.46991
3.277411, 0.4000898, 10.39868
3.29348, 0.4054217, 10.60752
3.310464, 0.4111111, 10.83711
3.326987, 0.4166887, 11.05959
3.343787, 0.4224552, 11.33767
3.360309, 0.4282162, 11.61755
3.376595, 0.4339924, 11.91057
3.3932, 0.4399593, 12.19793
3.410513, 0.4462815, 12.52147
3.427071, 0.4524353, 12.8549
3.444636, 0.4590822, 13.21863
3.460223, 0.4651327, 13.60682
3.476727, 0.4717011, 14.02391
3.493315, 0.4784843, 14.47163
3.510468, 0.4856797, 14.94131
3.526731, 0.4927229, 15.45418
3.543419, 0.5001619, 15.98021
3.560154, 0.5078635, 16.55176
3.577063, 0.515835, 17.10094
3.593289, 0.523631, 17.622
3.610338, 0.5319149, 18.13211
3.627233, 0.5402294, 18.67262
3.644747, 0.5489265, 19.22861
3.663052, 0.5580428, 19.7918
3.67803, 0.567367, 20.3111
3.693418, 0.5771006, 20.84238
3.710428, 0.5881408, 21.45601
3.726692, 0.5993263, 22.0428
