Time, Distance From Path, Angle From Next Waypoint
0.01906227, 0, -20.29315
0.03812454, 0, -19.96301
0.05812454, 0, -20.9207
0.06963527, 0, -21.17776
0.08452409, 0, -21.38751
0.1021858, 0, -21.55534
0.1183731, 0, -22.12419
0.1353638, 0, -22.07344
0.1511217, 0, -22.18498
0.1678461, 0, -22.28856
0.1844536, 0, -22.37633
0.2011739, 0, -22.45682
0.2173413, 0, -22.52501
0.234561, 0, -22.6055
0.2507706, 0, -22.75314
0.2682051, 0, -22.88255
0.2845636, 0, -23.01098
0.3014341, 0, -23.16998
0.3213733, 0, -23.40189
0.3354793, 0, -23.59683
0.3516003, 0, -23.85005
0.3691275, 0, -24.07268
0.3847797, 0, -24.32933
0.4015218, 0, -24.52934
0.4179443, 0, -24.69935
0.4345068, 0, -24.80015
0.4515842, 0, -24.90646
0.4684036, 0, -24.96242
0.4848855, 0, -24.8997
0.5023302, 0, -24.96354
0.5181178, 0, -24.99974
0.5353213, 0, -25.03237
0.5511409, 0, -25.03711
0.5689547, 0, -25.04341
0.5849997, 0, -25.02975
0.6018605, 0, -24.99165
0.6181346, 0, -24.91081
0.6355379, 0, -24.82996
0.6518, 0, -24.7911
0.6689603, 0, -24.72749
0.6856259, 0, -24.65476
0.7021383, 0, -24.6023
0.7188191, 0, -24.5646
0.7355403, 0, -24.56393
0.7513354, 0, -24.65093
0.7683223, 0, -24.71156
0.7848292, 0, -24.80395
0.8019302, 0, -24.89868
0.8185948, 0, -24.9947
0.8358437, 0, -25.03426
0.8514175, 0, -25.07938
0.8683997, 0, -25.08028
0.88537, 0, -25.07476
0.9017994, 0, -25.05589
0.9181306, 0, -25.04816
0.9347585, 0, -25.01437
0.9512478, 0, -24.98051
0.9682732, 0, -24.96104
0.9846669, 0, -24.95179
1.001668, 0, -24.92252
1.018309, 0, -24.95112
1.034935, 0, -24.99978
1.05162, 0, -25.05435
1.068293, 0, -25.13818
1.085522, 0, -25.2029
1.102056, 0, -25.27173
1.118962, 0, -25.33099
1.135329, 0, -25.39715
1.152081, 0, -25.44044
1.168123, 0, -25.48341
1.184849, 0, -25.49819
1.201201, 0, -25.51725
1.217924, 0, -25.51492
1.234507, 0, -25.48314
1.251377, 0, -25.45694
1.267788, 0, -25.41236
1.284578, 0, -25.39
1.301311, 0, -25.38727
1.318695, 0, -25.4089
1.335023, 0, -25.45468
1.351759, 0, -25.54029
1.367957, 0, -25.59779
1.384501, 0, -25.68339
1.401531, 0, -25.76242
1.418206, 0, -25.84858
1.434774, 0, -25.94915
1.452717, 0, -26.04501
1.468354, 0, -26.14758
1.485725, 0, -26.20731
1.501396, 0, -26.26719
1.518667, 0, -26.31212
1.535688, 0, -26.36118
1.551392, 0, -26.40312
1.568388, 0, -26.43984
1.584473, 0, -26.45827
1.601403, 0, -26.45925
1.618672, 0, -26.43416
1.634964, 0, -26.4157
1.651615, 0, -26.38299
1.668315, 0, -26.34087
1.685108, 0, -26.2656
1.701187, 0, -26.17387
1.718776, 0, -26.06335
1.734847, 0, -25.9343
1.752087, 0, -25.82141
1.768879, 0.02906992, -26.25333
1.785267, 0.05732337, -26.70518
1.801875, 0.0858138, -27.16209
1.818202, 0.1137072, -27.65337
1.835033, 0.1423084, -28.15626
1.85201, 0.1710335, -28.72068
1.867999, 0.1979625, -29.26314
1.884923, 0.2263229, -29.86281
1.901187, 0.2534575, -30.47933
1.918288, 0.2818629, -31.16953
1.934581, 0.3087905, -31.83636
1.951602, 0.3367962, -32.59276
1.969049, 0.3653671, -33.40864
1.98483, 0.3911003, -34.18427
2.001469, 0.4181536, -35.08882
2.018041, 0.4450137, -36.0315
2.034706, 0.4719862, -37.0753
2.051362, 0.4988879, -38.1581
2.067896, 0.5255749, -39.32619
2.084902, 0.5530187, -40.60226
2.100983, 0.5789895, -41.9017
2.118005, 0.5789895, -41.92285
2.134987, 0.5789895, -41.96501
2.152358, 0.5789895, -42.01188
2.16921, 0.5789895, -42.06789
2.185322, 0.5789895, -42.11743
2.201909, 0.5789895, -42.15469
2.218533, 0.5789895, -42.17271
2.234648, 0.5789895, -42.16222
2.251223, 0.5789895, -42.15567
2.267783, 0.5789895, -42.13592
2.284988, 0.5789895, -42.11764
2.301547, 0.5789895, -42.09474
2.318019, 0.5789895, -42.09973
2.334977, 0.5789895, -42.07813
2.35161, 0.5789895, -42.07641
2.368515, 0.5789895, -42.07993
2.384454, 0.5789895, -42.07545
2.401266, 0.5789895, -42.06139
2.41803, 0.5789895, -42.03056
2.435087, 0.5789895, -41.99497
2.452051, 0.5789895, -41.95924
2.468077, 0.5789895, -41.94459
2.484479, 0.5789895, -41.91638
2.501278, 0.5789895, -41.88537
2.51839, 0.5789895, -41.85583
2.53487, 0.5789895, -41.82893
2.551735, 0.5789895, -41.79964
2.568985, 0.5789895, -41.80553
2.585888, 0.5789895, -41.81403
2.602205, 0.5789895, -41.82896
2.618457, 0.5789895, -41.8404
2.63451, 0.5789895, -41.82979
2.651155, 0.5789895, -41.83092
2.667706, 0.5789895, -41.84173
2.68455, 0.5789895, -41.85143
2.701115, 0.5789895, -41.8413
2.718513, 0.5789895, -41.83196
2.734715, 0.5789895, -41.81686
2.751325, 0.5789895, -41.81408
2.767912, 0.6056616, -43.18437
2.784876, 0.6329539, -44.69577
2.801675, 0.6599606, -46.24242
2.81787, 0.6860176, -47.85503
2.83496, 0.7135195, -49.62905
2.851612, 0.7403466, -51.47652
2.868398, 0.7673793, -53.39754
2.884953, 0.7940512, -55.41352
2.902124, 0.8217247, -34.70667
2.918142, 0.8475431, -35.19391
2.934602, 0.8740972, -35.72849
2.951532, 0.9014177, -36.27706
2.968378, 0.9286335, -36.85728
2.98518, 0.9557853, -37.43044
3.002137, 0.9832002, -38.02677
3.018031, 1.008891, -38.58565
3.034948, 1.036249, -39.21214
3.051158, 1.062469, -39.82071
3.068087, 1.089857, -40.47339
3.084373, 1.116206, -41.11698
3.101711, 1.144257, -41.81839
3.117908, 1.170452, -42.47984
3.134576, 1.197391, -43.1715
3.151324, 1.224452, -43.89509
3.16788, 1.251158, -44.59376
3.184778, 1.278367, -45.32785
3.201417, 1.278367, -45.28194
3.218527, 1.278367, -45.24953
3.235039, 1.278367, -45.21828
3.251935, 1.278367, -45.18614
3.268369, 1.278367, -45.14942
3.284781, 1.278367, -45.12525
3.301287, 1.278367, -45.09696
3.318061, 1.278367, -45.07652
3.336781, 1.278367, -45.07303
3.350984, 1.278367, -45.06577
3.367877, 1.278367, -45.06523
3.384769, 1.278367, -45.064
3.401507, 1.278367, -45.06299
3.418443, 1.278367, -45.04992
3.434982, 1.278367, -45.05169
3.451372, 1.278367, -45.04425
3.46819, 1.278367, -45.0434
3.485646, 1.278367, -45.0163
3.50163, 1.278367, -45.01875
3.517943, 1.278367, -44.964
3.534847, 1.278367, -44.9602
3.551189, 1.278367, -44.94214
3.567713, 1.278367, -44.9485
3.584684, 1.278367, -44.9264
3.601652, 1.278367, -44.91132
3.618463, 1.278367, -44.88609
3.636013, 1.278367, -44.85788
3.651778, 1.278367, -44.83588
3.668358, 1.278367, -44.79572
3.685448, 1.278367, -44.7482
3.701392, 1.278367, -44.69772
3.717981, 1.278367, -44.68747
3.734415, 1.278367, -44.6478
3.7514, 1.278367, -44.64468
3.767634, 1.278367, -44.61576
3.784786, 1.278367, -44.60871
3.801507, 1.278367, -44.58801
3.818261, 1.278367, -44.57128
3.834921, 1.278367, -44.53751
3.852233, 1.278367, -44.48411
3.867954, 1.278367, -44.43158
3.884947, 1.278367, -44.32966
3.901592, 1.278367, -44.24406
3.918025, 1.278367, -44.10261
3.934838, 1.278367, -43.91425
3.951233, 1.278367, -43.66017
3.968089, 1.278367, -43.32144
3.984782, 1.278367, -42.96904
4.001173, 1.278367, -42.62431
4.018305, 1.278367, -42.20801
4.034868, 1.278367, -41.76024
4.051836, 1.278367, -41.2587
4.068639, 1.278367, -40.74263
4.084893, 1.278367, -40.1973
4.101118, 1.278367, -39.6008
4.118093, 1.278367, -38.96893
4.134654, 1.278367, -38.32372
4.151126, 1.278367, -37.6414
4.167931, 1.278367, -36.97574
4.184739, 1.278367, -36.28787
4.201095, 1.278367, -35.54858
4.217847, 1.278367, -34.85474
4.234316, 1.278367, -34.14844
4.251172, 1.278367, -33.46967
4.268183, 1.278367, -32.82779
4.28487, 1.278367, -32.19043
4.30179, 1.278367, -31.56564
4.318386, 1.278367, -31.03787
4.338101, 1.278367, -30.46751
4.351241, 1.278367, -29.83998
4.367686, 1.278367, -29.39777
4.384605, 1.278367, -28.89288
4.401378, 1.278367, -28.45267
4.418447, 1.278367, -28.05563
4.434918, 1.278367, -27.67813
4.451268, 1.278367, -27.30484
4.468272, 1.278367, -26.96718
4.484794, 1.278367, -26.62517
4.501283, 1.278367, -26.37772
4.5177, 1.278367, -26.09145
4.534494, 1.278367, -25.83443
4.55095, 1.278367, -25.58786
4.567944, 1.278367, -25.34752
4.584443, 1.278367, -25.1405
4.600915, 1.278367, -24.91904
4.617877, 1.278367, -24.68823
4.634145, 1.278367, -24.4758
4.651309, 1.278367, -24.27269
4.667991, 1.278367, -24.07693
4.684809, 1.278367, -23.89647
4.701504, 1.278367, -23.67194
4.718645, 1.278367, -23.45914
4.734968, 1.278367, -23.24023
4.751212, 1.278367, -23.02356
4.773077, 1.278367, -22.78017
4.784328, 1.278367, -22.53874
4.801036, 1.278367, -22.22755
4.817721, 1.278367, -21.91211
4.834286, 1.278367, -21.59552
4.851276, 1.278367, -21.28198
4.868145, 1.278367, -20.92598
4.884609, 1.278367, -20.54639
4.902049, 1.278367, -20.15681
4.917846, 1.278367, -19.75926
4.934929, 1.278367, -19.39061
4.951578, 1.278367, -18.95488
4.967908, 1.278367, -18.55824
4.984501, 1.278367, -18.14876
5.000978, 1.278367, -17.75549
5.01757, 1.278367, -17.35246
5.034728, 1.278367, -16.93524
5.051462, 1.278367, -16.5601
5.068102, 1.278367, -16.19518
5.084508, 1.278367, -15.85315
5.101592, 1.278367, -15.58057
5.118978, 1.278367, -15.35425
5.135008, 1.278367, -15.14471
5.151097, 1.278367, -14.96494
5.167989, 1.278367, -14.80328
5.184529, 1.278367, -14.71147
5.200914, 1.278367, -14.60164
5.218539, 1.278367, -14.55849
5.234557, 1.278367, -14.50922
5.251008, 1.278367, -14.4816
5.267655, 1.278367, -14.44054
5.28461, 1.278367, -14.43268
5.301077, 1.278367, -14.40822
5.318059, 1.278367, -14.40005
5.335026, 1.278367, -14.37003
