Time, Distance From Path, Angle From Next Waypoint
0.01973102, 0, -23.82007
0.03946205, 0, -23.571
0.05946205, 0, -23.40578
0.07083967, 0, -23.45676
0.08592049, 0, -23.50402
0.1022349, 0, -23.58968
0.1190776, 0, -23.6747
0.1358498, 0, -23.77322
0.1521313, 0, -23.87938
0.1690055, 0, -23.95991
0.1851498, 0, -24.03654
0.2021195, 0, -24.09717
0.2188152, 0, -24.15694
0.2355438, 0, -24.20476
0.2519203, 0, -24.22465
0.2692161, 0, -24.22656
0.2862248, 0, -24.21342
0.302773, 0, -24.18155
0.3193986, 0, -24.18176
0.3362116, 0, -24.16938
0.3525381, 0, -24.16838
0.3695621, 0, -24.16055
0.3859276, 0, -24.12356
0.4023427, 0, -24.09068
0.4188556, 0, -24.02341
0.4352591, 0, -23.98387
0.4524617, 0, -23.94655
0.4694277, 0, -23.90103
0.4857231, 0, -23.8088
0.5028, 0, -23.73351
0.5186775, 0, -23.6534
0.5352712, 0, -23.58401
0.552489, 0, -23.51072
0.5691226, 0, -23.45062
0.5855052, 0, -23.37255
0.6022653, 0, -23.27923
0.6191437, 0, -23.10909
0.6355815, 0, -22.96785
0.6517345, 0, -22.8011
0.6693888, 0, -22.66619
0.6863117, 0, -22.52213
0.7024935, 0, -22.35965
0.7192462, 0, -22.18985
0.7359855, 0, -22.02406
0.7527215, 0, -21.91327
0.7694821, 0, -21.7892
0.7852827, 0, -21.74181
0.8021884, 0, -21.68648
0.8194262, 0, -21.65021
0.835685, 0, -21.55296
0.853074, 0, -21.4823
0.8690076, 0, -21.41447
0.8853276, 0, -21.34901
0.9024273, 0, -21.2711
0.919686, 0, -21.23427
0.9352124, 0, -21.16386
0.9521678, 0, -21.13002
0.9688839, 0, -21.08064
0.9861541, 0.02477966, -21.5005
1.002461, 0.04814625, -21.94154
1.018763, 0.07152011, -22.44406
1.035421, 0.09538703, -22.94948
1.052293, 0.1194959, -23.44205
1.069791, 0.1445045, -24.0459
1.086142, 0.1678672, -24.62337
1.102862, 0.1917787, -25.26889
1.119762, 0.2159488, -25.93364
1.13652, 0.2399013, -26.60759
1.152224, 0.2623317, -27.27122
1.168978, 0.2862602, -28.02823
1.185428, 0.3097879, -28.84218
1.202093, 0.3336622, -29.71419
1.219607, 0.3587639, -30.65466
1.23552, 0.3815476, -31.52374
1.253148, 0.4068277, -32.60092
1.269, 0.429529, -33.56252
1.286242, 0.4542142, -34.69563
1.302986, 0.4781795, -35.86365
1.319972, 0.5024685, -37.10538
1.336164, 0.5024685, -37.06166
1.35241, 0.5024685, -37.04813
1.369586, 0.5024685, -37.05519
1.385936, 0.5024685, -37.04393
1.402709, 0.5024685, -37.03493
1.419191, 0.5024685, -37.0123
1.436157, 0.5024685, -36.99803
1.452683, 0.5024685, -36.9702
1.469055, 0.5024685, -36.97534
1.485664, 0.5024685, -36.93973
1.502088, 0.5024685, -36.94185
1.518888, 0.5024685, -36.93433
1.535823, 0.5024685, -36.9429
1.55201, 0.5024685, -36.93915
1.569153, 0.5024685, -36.92696
1.585739, 0.5024685, -36.90778
1.602106, 0.5024685, -36.90668
1.618656, 0.5258899, -38.17749
1.635614, 0.5498627, -39.5674
1.651873, 0.5728135, -40.97275
1.669019, 0.5969738, -42.54411
1.685172, 0.6197054, -44.12857
1.702078, 0.6434545, -45.88242
1.719248, 0.6675659, -29.29657
1.735588, 0.6904775, -29.68634
1.752674, 0.714437, -30.14194
1.770423, 0.7393124, -30.61311
1.786977, 0.7625117, -31.07852
1.802598, 0.7844089, -31.53258
1.819108, 0.8075384, -32.00943
1.835604, 0.8306385, -32.50156
1.852647, 0.8545041, -33.03484
1.869103, 0.8775471, -33.56374
1.885822, 0.9009429, -34.10413
1.902109, 0.9237042, -34.63101
1.919027, 0.9237042, -34.5719
1.936006, 0.9237042, -34.53937
1.95224, 0.9237042, -34.51093
1.969109, 0.9237042, -34.50453
1.985275, 0.9237042, -34.49603
2.002055, 0.9237042, -34.53018
2.018735, 0.9237042, -34.54352
2.035277, 0.9237042, -34.55272
2.052346, 0.9237042, -34.52585
2.068883, 0.9237042, -34.53612
2.0855, 0.9237042, -34.54266
2.102018, 0.9237042, -34.52003
2.119389, 0.9237042, -34.50737
2.135907, 0.9237042, -34.47119
2.153194, 0.9237042, -34.47081
2.169589, 0.9237042, -34.46768
2.185811, 0.9237042, -34.49719
2.202563, 0.9237042, -34.48013
