Time, Distance From Path, Angle From Next Waypoint
0.0193192, 0, 8.210434
0.03863839, 0, 8.262589
0.05863839, 0, 8.129181
0.06953648, 0, 8.072067
0.08509545, 0, 8.022614
0.1017568, 0, 7.968781
0.1190544, 0, 7.840744
0.1347822, 0, 7.801743
0.1518387, 0, 7.776321
0.1675535, 0, 7.800018
0.1841874, 0, 7.77713
0.2015477, 0, 7.741119
0.2173789, 0, 7.729416
0.2342795, 0, 7.680374
0.2511129, 0, 7.67334
0.2680075, 0, 7.64473
0.2843011, 0, 7.638855
0.300687, 0, 7.632477
0.3171081, 0, 7.651245
0.3341455, 0, 7.668427
0.3510197, 0, 7.694794
0.3683113, 0, 7.707077
0.384738, 0, 7.723862
0.4009574, 0, 7.72789
0.4185069, 0, 7.721512
0.4345129, 0, 7.730957
0.4515712, 0, 7.70015
0.4680405, 0, 7.700989
0.484502, 0, 7.66571
0.5009416, 0, 7.647141
0.5179109, 0, 7.624527
0.5343171, 0, 7.623062
0.5505815, 0, 7.614731
0.5676686, 0, 7.62291
0.5840531, 0, 7.626114
0.6007659, 0, 7.664536
0.6176146, 0, 7.701553
0.6344104, 0, 7.758698
0.6512095, 0, 7.812607
0.6673557, 0, 7.864059
0.6846593, 0, 7.905182
0.7011027, 0, 7.932251
0.7182552, 0, 7.957306
0.7345696, 0, 7.965485
0.7513409, 0, 7.969528
0.7678232, 0, 7.957047
0.7842481, 0, 7.946182
0.8007823, 0, 7.933502
0.8177047, 0, 7.913773
0.8340377, 0, 7.894196
0.8511911, 0, 7.891235
0.8674879, 0, 7.893234
0.8843732, 0, 7.900055
0.9012744, 0, 7.912292
0.917452, 0, 7.932968
0.934003, 0, 7.963486
0.9510247, 0, 7.999008
0.9675826, 0, 8.043915
0.9840747, 0, 8.069336
1.000583, 0, 8.112137
1.017599, 0, 8.13475
1.034219, 0, 8.161957
1.051382, 0, 8.176224
1.067848, 0, 8.182922
1.084643, 0, 8.180176
1.101645, 0, 8.1745
1.117904, 0, 8.167984
1.134794, 0, 8.139954
1.151331, 0, 8.130234
1.168442, 0, 8.11438
1.184234, 0, 8.109009
1.200635, 0, 8.082657
1.217484, 0, 8.093079
1.23401, 0, 8.082626
1.25089, 0, 8.092148
1.267619, 0, 8.090729
1.284241, 0, 8.116562
1.301354, 0, 8.110153
1.320545, 0, 8.103378
1.335343, 0, 8.102325
1.351683, 0, 8.071198
1.368319, 0, 8.026611
1.384932, 0, 7.97403
1.402985, 0, 7.948608
1.419204, 0, 7.90155
1.435021, 0, 7.894745
1.450886, 0, 7.901459
1.467328, 0, 7.928665
1.484292, 0, 7.949615
1.501726, 0, 7.992462
1.518609, 0, 8.010025
1.534934, 0, 8.028061
1.550592, 0, 8.018585
1.567779, 0, 8.035233
1.584272, 0, 8.014694
1.600982, 0, 7.997421
1.617321, 0, 7.978333
1.634018, 0, 7.9646
1.650792, 0, 7.935654
1.667323, 0, 7.920471
