Time, Distance From Path, Angle From Next Waypoint
0.02005427, 0, -22.28456
0.04010854, 0, -22.29369
0.06010854, 0, -22.52235
0.08065487, 0, -22.52392
0.09523203, 0, -22.52568
0.1119198, 0, -22.54452
0.1286683, 0, -22.55919
0.1451122, 0, -22.58788
0.1610528, 0, -22.62868
0.1777271, 0, -22.60509
0.19444, 0, -22.62194
0.2113397, 0, -22.60771
0.227745, 0, -22.60831
0.2449694, 0, -22.60828
0.2610028, 0, -22.62092
0.2788968, 0, -22.644
0.2950837, 0, -22.63342
0.3110591, 0, -22.63125
0.3278601, 0, -22.62415
0.3445196, 0, -22.60928
0.3610649, 0, -22.56673
0.3783273, 0, -22.50347
0.3946983, 0, -22.44823
0.4114668, 0, -22.41281
0.4279742, 0, -22.35129
0.4454856, 0, -22.32759
0.4616567, 0, -22.30057
0.4787141, 0, -22.29518
0.4962483, 0, -22.28571
0.5108528, 0, -22.30078
0.5277076, 0, -22.30077
0.5445465, 0, -22.30861
0.5610905, 0, -22.30418
0.5783418, 0, -22.31396
0.5943705, 0, -22.30777
0.611428, 0, -22.29478
0.6282558, 0, -22.27504
0.6452547, 0, -22.2402
0.6619504, 0, -22.21919
0.678232, 0, -22.18617
0.6954623, 0, -22.15129
0.7110635, 0, -22.1279
0.7277346, 0, -22.1096
0.7447924, 0, -22.09415
0.7611546, 0, -22.06595
0.7783242, 0, -22.06131
0.7950528, 0, -22.058
0.8112884, 0, -22.05667
0.8286487, 0, -22.01324
0.845054, 0, -22.00517
0.862053, 0, -21.97566
0.877746, 0, -21.96992
0.8950441, 0, -21.9308
0.9114207, 0, -21.94278
0.9278214, 0, -21.92935
0.9444846, 0, -21.96248
0.9612067, 0, -21.97481
0.9779766, 0, -22.01874
0.9948294, 0, -22.03899
1.011429, 0, -22.04488
1.028052, 0, -22.0352
1.044569, 0, -21.96147
1.061133, 0, -21.81537
1.07786, 0, -21.57121
1.094541, 0, -21.20001
1.111492, 0, -20.64307
1.128993, 0, -20.06941
1.145363, 0, -19.3968
1.162339, 0, -18.68546
1.178213, 0, -17.92548
1.195131, 0, -17.15047
1.211441, 0, -16.46178
1.227867, 0, -15.83913
1.24448, 0, -15.29221
1.261096, 0, -14.82898
1.277699, 0, -14.43974
1.294791, 0, -14.14929
1.311485, 0, -13.87248
1.328321, 0, -13.63892
1.345131, 0, -13.42664
1.361062, 0, -13.20029
1.377625, 0, -13.24562
