Time, Distance From Path, Angle From Next Waypoint
0.01950192, 0, -8.779861
0.03900385, 0, -8.486465
0.05900384, 0, 4.509018
0.07025672, 0, 5.580597
0.0862878, 0, 6.672653
0.1024858, 0, 7.726349
0.1187488, 0, 8.656601
0.135457, 0, 9.485641
0.1518095, 0, 10.24677
0.1688859, 0, 10.92166
0.1851057, 0, 11.52791
0.202453, 0, 12.02538
0.2194992, 0, 12.48784
0.2358953, 0, 12.8327
0.2519078, 0, 13.0679
0.2695208, 0, 13.15356
0.2860797, 0, 13.13069
0.3027164, 0, 12.91785
0.3189905, 0, 12.72748
0.338627, 0, 12.39922
0.3524523, 0, 12.16551
0.3689175, 0, 11.87596
0.3858246, 0, 11.67287
0.4024605, 0, 11.53513
0.4192424, 0, 11.47899
0.4353403, 0, 11.48395
0.4524301, 0, 11.55174
0.4693772, 0, 11.64835
0.4862565, 0, 11.86945
0.5035156, 0, 12.03836
0.5194887, 0, 12.13104
0.535818, 0, 12.16223
0.5525976, 0, 12.05382
0.5691444, 0, 11.84648
0.5858446, 0, 11.68582
0.6024044, 0, 11.60741
0.61914, 0, 11.57881
0.6360615, 0, 11.63721
0.6529881, 0, 11.78806
0.6699133, 0, 11.93742
0.6864939, 0, 12.11601
0.7028538, 0, 12.33609
0.7194706, 0, 12.54796
0.7361259, 0, 12.74371
0.7527418, 0, 12.91673
0.7691945, 0, 12.98395
0.7858517, 0, 13.02119
0.8027287, 0, 12.98148
0.8191113, 0, 12.94026
0.8360685, 0, 12.81734
0.8524548, 0, 12.75636
0.8693355, 0, 12.69325
0.8867509, 0, 12.63187
0.9034035, 0, 12.56992
0.9191692, 0, 12.50868
0.9354939, 0, 12.45338
0.9529761, 0, 12.41174
0.9692864, 0, 12.3931
0.9863925, 0, 12.38536
1.002879, 0, 12.44055
1.01921, 0, 12.47408
1.036551, 0, 12.52692
1.05289, 0, 12.54991
1.069223, 0, 12.56087
1.086373, 0, 12.55006
1.103144, 0, 12.50514
1.120251, 0, 12.44438
1.135743, 0, 12.38023
1.1529, 0, 12.28654
1.168924, 0, 12.21848
1.185944, 0, 12.11641
1.20246, 0, 12.06497
1.219304, 0, 11.99774
1.236686, 0, 11.9335
1.252513, 0, 11.88065
1.268913, 0, 11.82809
1.285702, 0, 11.76778
1.302224, 0, 11.68907
1.319547, 0, 11.64337
1.339018, 0, 11.64377
1.352882, 0, 11.60139
1.369716, 0, 11.5849
1.386212, 0, 11.55415
1.402385, 0, 11.55502
1.419383, 0, 11.54007
1.435952, 0, 11.52802
1.452581, 0, 11.52747
1.469804, 0, 11.53046
1.485868, 0, 11.53157
1.502249, 0, 11.55771
1.519444, 0, 11.58392
1.536494, 0, 11.66006
1.55289, 0, 11.7309
1.568883, 0, 11.84866
1.586164, 0, 11.98375
1.60278, 0, 12.15907
1.619205, 0, 12.34636
1.635873, 0, 12.563
1.652757, 0, 12.79553
1.669303, 0, 13.04703
1.686125, 0, 13.31999
1.702384, 0, 13.60432
1.719828, 0, 13.9742
1.736669, 0, 14.3165
1.752841, 0, 14.71101
1.769539, 0, 15.12074
1.78638, 0, 15.58917
1.802544, 0, 16.0625
1.819634, 0, 16.60956
1.836326, 0, 17.13019
1.852776, 0, 17.6908
1.868984, 0, 18.2594
1.886035, 0, 18.86044
1.902646, 0, 19.51973
1.919257, 0, 20.15775
1.935982, 0, 20.83664
1.953221, 0, 21.53253
1.968958, 0, 22.2365
1.985798, 0, 22.95535
2.003064, 0, 23.74002
2.019172, 0, 24.5085
2.035869, 0, 25.29074
2.052977, 0, 26.07767
2.068663, 0, 26.87914
2.085811, 0, 27.66873
2.102984, 0, 28.45692
2.119863, 0, 29.22171
2.136461, 0, 29.96814
2.15396, 0, 30.67104
2.169923, 0, 31.35385
2.186605, 0, 32.02193
2.202667, 0, 32.64909
2.218625, 0, 33.25383
2.235655, 0, 33.82529
2.254367, 0, 34.36119
2.26902, 0, 34.88612
2.286331, 0, 35.3586
2.302304, 0, 35.83455
2.319004, 0, 36.31203
2.336082, 0, 36.76256
2.354693, 0, 37.20775
2.369148, 0, 37.65631
2.385874, 0, 38.08183
2.402652, 0, 38.51787
2.420301, 0, 38.94916
2.436649, 0, 39.38977
2.45331, 0, 39.83862
2.469646, 0, 40.31425
2.486555, 0, 40.77739
2.503837, 0, 41.26385
2.520649, 0, 41.74069
2.536865, 0, 42.22945
2.553646, 0, 42.69139
2.568976, 0, 43.15109
2.585833, 0, 43.60622
2.602685, 0, 44.06068
2.618831, 0, 44.50722
2.635568, 0, 44.94557
2.652256, 0, 45.39709
2.668881, 0, 45.83156
2.686012, 0, 46.28073
2.702476, 0, 46.71867
2.719007, 0, 47.17044
2.735508, 0, 47.63136
2.753015, 0, 48.0813
2.769843, 0, 48.52354
2.785732, 0, 48.96118
2.80292, 0, 49.36813
2.820148, 0, 49.76877
2.835607, 0, 50.15594
2.852524, 0, 50.5414
2.869035, 0, 50.9003
2.885832, 0, 51.26855
2.902413, 0, 51.64
2.91964, 0, 52.01627
2.935799, 0, 52.44156
2.952841, 0, 52.8959
2.969356, 0, 53.40355
2.985667, 0, 53.9536
3.002316, 0, 54.56357
3.018948, 0, 55.13138
3.035643, 0, 55.74887
3.052299, 0, 56.36436
3.068923, 0, 57.0126
3.08625, 0, 57.65388
3.102618, 0, 58.269
3.118934, 0, 58.8446
3.135912, 0, 59.36201
3.152694, 0, 59.82042
3.169856, 0, 60.21274
3.186162, 0, 60.6273
3.202881, 0, 61.03256
3.21965, 0, 61.45682
3.2358, 0, 61.85522
3.252877, 0, 62.2691
3.269404, 0, 62.66795
3.285774, 0, 63.0881
3.302146, 0, 63.50601
3.318843, 0, 63.94055
3.335819, 0, 64.38052
3.352388, 0, 64.83459
3.369504, 0, 65.24971
3.385865, 0, 65.66826
3.402189, 0, 66.08281
3.419243, 0, 66.49904
3.435315, 0, 66.93127
3.452208, 0, 67.34297
3.469094, 0, 67.76012
3.485683, 0, 68.17227
3.502362, 0, 68.58664
3.51941, 0, 69.01431
3.535451, 0, 69.47255
3.552512, 0, 69.94296
3.569643, 0, 70.44182
3.586489, 0, 70.96329
3.602742, 0, 71.50362
3.619503, 0, 72.07527
3.635729, 0, 72.61838
3.652458, 0, 73.15488
3.66902, 0, 73.65187
3.685619, 0, 74.12138
3.702349, 0, 74.55237
3.718948, 0, 74.94658
3.735662, 0, 75.33687
3.752212, 0, 75.72159
3.768946, 0, 76.10939
3.785893, 0, 76.48929
3.802759, 0, 76.87541
3.819022, 0, 77.27419
3.835641, 0, 77.67694
3.852101, 0, 78.07162
3.868884, 0, 78.48659
3.886346, 0, 78.91812
3.90251, 0, 79.35219
3.919306, 0, 79.79637
3.935709, 0, 80.27832
3.952337, 0, 80.75661
3.969046, 0, 81.26434
3.98661, 0, 81.77312
4.003051, 0, 82.31253
4.018962, 0, 82.85756
4.035263, 0, 83.45689
4.052919, 0, 84.08923
4.069034, 0, 84.72639
4.085988, 0, 85.39178
4.102295, 0, 86.06473
4.119192, 0, 86.77824
4.135468, 0, 87.48097
4.152432, 0, 88.20334
4.168944, 0, 88.91302
4.185519, 0, 89.66075
4.202573, 0, 90.39587
4.219334, 0, 91.15347
4.236176, 0, 91.93251
4.253105, 0, 92.70247
4.26954, 0, 93.48944
4.285655, 0, 94.30484
4.302265, 0, 95.12738
4.318928, 0, 95.96794
4.335934, 0, 96.82109
4.35257, 0, 97.63451
4.36901, 0, 98.44022
4.385917, 0, 99.22235
4.402339, 0, 99.97874
4.419421, 0, 100.6788
4.435512, 0, 101.3612
4.452064, 0, 101.9847
4.468698, 0, 102.5989
4.485445, 0, 103.1431
4.50227, 0, 103.6714
4.518819, 0, 104.1259
4.536193, 0, 104.5801
4.552404, 0, 105.0079
4.568701, 0, 105.4298
4.58575, 0, 105.851
4.602721, 0, 106.2637
4.619495, 0, 106.6817
4.636145, 0, 107.0851
4.652793, 0, 107.4981
4.669672, 0, 107.8995
4.685745, 0, 108.3171
4.702579, 0, 108.7476
4.719042, 0, 109.2043
4.735173, 0, 109.6728
4.756672, 0, 110.1817
4.768962, 0, 110.6812
4.78536, 0, 111.2433
4.802183, 0, 111.8092
4.819398, 0, 112.4034
4.83599, 0, 113.0575
4.852089, 0, 113.7407
4.86912, 0, 114.5031
4.885461, 0, 115.226
4.902142, 0, 115.9689
4.919068, 0, 116.6712
4.935372, 0, 117.3535
4.952224, 0, 117.9773
4.969003, 0, 118.542
4.985514, 0, 119.0545
5.002323, 0, 119.5405
5.019493, 0, 119.9737
5.036568, 0, 120.3617
5.052385, 0, 120.748
5.069578, 0, 121.1038
5.086142, 0, 121.4574
5.102717, 0, 121.8004
5.119081, 0, 122.1403
5.135491, 0, 122.4674
5.152091, 0, 122.7683
5.168889, 0, 123.0475
5.185555, 0, 123.3497
5.201977, 0, 123.6163
5.218911, 0, 123.8746
5.236306, 0, 124.0784
5.252471, 0, 124.2575
5.269242, 0, 124.3695
5.28534, 0, 124.4174
5.302269, 0, 124.3852
5.318624, 0, 124.2205
5.335895, 0, 123.8017
5.355217, 0, 123.135
5.369114, 0, 122.5038
5.385567, 0, 121.545
5.402705, 0, 120.245
5.419081, 0, 118.8989
5.436327, 0, 117.4046
5.452418, 0, 115.7599
5.468902, 0, 114.0481
5.485379, 0, 112.2323
5.502328, 0, 110.312
5.519112, 0, 108.4769
5.535353, 0, 106.666
5.552147, 0, 104.8772
5.569121, 0, 103.1587
5.585476, 0, 101.5186
5.602272, 0, 99.98756
5.619016, 0, 98.52736
5.635406, 0, 97.17221
5.653063, 0, 95.94505
5.668955, 0, 94.7789
5.686033, 0, 93.72346
5.702707, 0, 92.65802
5.718984, 0, 91.63676
5.736114, 0, 90.62779
5.752235, 0, 89.6414
5.768777, 0, 88.66658
5.785589, 0, 87.6281
5.802394, 0, 86.55267
5.818831, 0, 85.44318
5.83576, 0, 84.29758
5.852498, 0, 83.11147
5.869477, 0, 81.94307
5.885334, 0, 80.7796
5.902322, 0, 79.62712
5.918792, 0, 78.47234
5.935627, 0, 77.34879
5.952302, 0, 76.2347
5.96895, 0, 75.151
5.985451, 0, 74.097
6.001933, 0, 73.07515
6.018911, 0, 72.08409
6.035425, 0, 71.12265
6.052343, 0, 70.22595
6.069736, 0, 69.32286
6.085886, 0, 68.45033
6.102988, 0, 67.60783
6.11949, 0, 66.86145
6.135791, 0, 66.09962
6.152328, 0, 65.38777
6.168891, 0, 64.68254
6.185246, 0, 63.98538
6.201896, 0, 63.31201
6.218741, 0, 62.65666
6.235253, 0, 61.9872
6.252, 0, 61.31839
6.268777, 0, 60.60916
6.285724, 0, 59.908
6.302704, 0, 59.16792
6.318521, 0, 58.40421
6.335318, 0, 57.60817
6.355357, 0, 56.76015
6.368865, 0, 55.81207
6.385747, 0, 55.06227
6.402182, 0, 54.1902
6.418832, 0, 53.31413
6.435472, 0, 52.45245
6.452618, 0, 51.5965
6.46881, 0, 50.75513
6.48617, 0, 49.92815
6.50292, 0, 49.10249
6.519214, 0, 48.29698
6.535496, 0, 47.52069
6.552082, 0, 46.78029
6.568658, 0, 46.05547
6.585269, 0, 45.39821
6.601942, 0, 44.73016
6.619517, 0, 44.09416
6.635265, 0, 43.46002
6.651865, 0, 42.86993
6.668797, 0, 42.29791
6.685473, 0, 41.7692
6.70229, 0, 41.25352
6.719467, 0, 40.75111
6.73522, 0, 40.25812
6.752285, 0, 39.81926
6.769664, 0, 39.35617
6.785596, 0, 38.89706
6.802885, 0, 38.43102
6.81895, 0, 37.9547
6.836243, 0, 37.49419
6.852039, 0, 37.00638
6.869417, 0, 36.51085
6.885252, 0, 35.93903
6.901896, 0, 35.35448
6.919288, 0, 34.71176
6.936156, 0, 34.01395
6.952082, 0, 33.26419
6.969121, 0, 32.46472
6.985188, 0, 31.64063
7.002429, 0, 30.78568
7.018561, 0, 29.90778
7.035327, 0, 29.01712
7.051956, 0, 28.17004
7.068487, 0, 27.32982
7.086167, 0, 26.49878
7.102108, 0, 25.66464
7.118982, 0, 24.89943
7.136608, 0, 24.14494
7.152914, 0, 23.43379
7.169767, 0, 22.75154
7.185854, 0, 22.10995
7.201928, 0, 21.48222
7.218915, 0, 20.89722
7.235634, 0, 20.32962
7.252151, 0, 19.78781
7.268675, 0, 19.26363
7.285223, 0, 18.79305
7.302032, 0, 18.36491
7.318576, 0, 17.90884
7.335931, 0, 17.4751
7.352442, 0, 17.00758
7.368778, 0, 16.53571
7.385333, 0, 16.0347
7.402348, 0, 15.51881
7.41842, 0, 14.99786
7.435461, 0, 14.50562
7.451828, 0, 14.02249
7.468666, 0, 13.57416
7.485379, 0, 13.14592
7.502285, 0, 12.71219
7.518754, 0, 12.32076
7.535984, 0, 11.94202
7.553365, 0, 11.5696
7.569152, 0, 11.18858
7.585887, 0, 10.81868
7.602756, 0, 10.42543
7.619277, 0, 10.04877
7.6353, 0, 9.65564
7.651981, 0, 9.294113
7.668775, 0, 8.91124
7.685396, 0, 8.539246
7.702631, 0, 8.189713
7.718921, 0, 7.836182
7.735272, 0, 7.520615
7.752672, 0, 7.235184
7.769121, 0, 6.977036
7.785496, 0, 6.723465
7.802832, 0, 6.52504
7.818628, 0, 6.350082
7.835481, 0, 6.234604
7.85247, 0, 6.138824
7.86956, 0, 6.085312
7.885665, 0, 6.059525
7.902683, 0.007160204, 6.218811
7.918907, 0.01405778, 6.420029
7.935841, 0.0213604, 6.660263
7.952876, 0.02884019, 6.937973
7.969433, 0.03628537, 7.263458
7.985199, 0.04358946, 7.636429
8.002199, 0.05173257, 8.070129
8.018827, 0.06002547, 8.575378
8.035539, 0.06868395, 9.095688
8.051574, 0.077316, 9.637543
8.069254, 0.08715059, 10.19609
8.085355, 0.0963797, 10.73607
8.102165, 0.106231, 11.25342
8.118673, 0.1161124, 11.78542
8.135287, 0.1262136, 12.30072
8.151812, 0.1364194, 12.84534
8.168703, 0.1469649, 13.38724
8.186124, 0.1579377, 13.96196
8.203216, 0.1579377, 14.03645
8.219571, 0.1579377, 14.11151
8.236165, 0.1579377, 14.16864
8.252337, 0.1579377, 14.226
8.269228, 0.1579377, 14.28441
8.285501, 0.1579377, 14.32169
8.302255, 0.1579377, 14.36061
8.319389, 0.1579377, 14.356
8.335421, 0.1579377, 14.36383
8.35218, 0.1579377, 14.34015
8.369078, 0.1579377, 14.30875
8.385542, 0.1579377, 14.26591
8.402043, 0.1579377, 14.23434
8.420073, 0.1579377, 14.18604
8.436396, 0.1579377, 14.12122
8.451736, 0.1579377, 14.07755
8.469118, 0.1579377, 14.03671
8.485086, 0.1579377, 14.01007
8.502208, 0.1579377, 13.98643
8.518703, 0.1579377, 13.97945
8.535404, 0.1579377, 13.94936
8.552099, 0.1684338, 14.4368
8.569069, 0.1790623, 14.95605
8.586291, 0.1898159, 15.5331
8.602697, 0.2000178, 16.11748
8.618875, 0.2100631, 16.76665
8.635898, 0.2205918, 11.72896
8.651939, 0.2304977, 11.88159
8.669072, 0.2410719, 12.06145
