Time, Distance From Path, Angle From Next Waypoint
1.201693, 0.0633791, 0
1.218392, 0.1274566, 0
1.234896, 0.1907917, 0
1.251845, 0.2558339, 0
1.268259, 0.3188317, 0
1.285958, 0.3867599, 0
1.301732, 0.4460937, 0
1.318533, 0.5105859, 0
1.335053, 0.5734755, 0
1.35177, 0.6376536, 0
1.36815, 0.7005486, 0
1.388561, 0.7789166, 0
1.401371, 0.8281024, 0
1.418395, 0.8934725, 0
1.435596, 0.9595136, 0
1.451789, 1.02169, 0
1.468735, 1.086731, 0
1.485596, 1.151421, 0
1.501792, 1.213529, 0
1.518131, 1.274672, 0
1.53486, 1.338758, 0
1.551773, 1.403519, 0
1.568535, 1.467687, 0
1.584735, 1.529693, 0
1.601495, 1.593835, 0
1.619135, 1.661352, 0
1.635098, 1.722448, 0
1.651607, 1.785632, 0
1.66827, 1.84941, 0
1.685514, 1.91541, 0
1.701677, 1.977274, 0
1.718334, 2.041039, 0
1.73503, 2.104954, 0
1.751672, 2.168657, 0
1.768491, 2.233028, 0
1.785879, 2.299562, 0
1.801529, 2.359445, 0
1.818326, 2.423707, 0
1.835098, 2.48787, 0
1.851606, 2.551027, 0
1.868048, 2.613929, 0
1.884855, 2.678223, 0
1.901615, 2.742336, 0
1.918393, 2.806525, 0
1.934942, 2.869843, 0
1.952631, 2.937538, 0
1.968368, 2.997762, 0
1.985117, 3.061861, 0
2.00153, 3.124666, 0
2.018224, 3.18854, 0
2.034863, 3.252195, 0
2.051626, 3.316311, 0
2.068902, 3.382369, 0
2.085713, 3.446645, 0
2.102299, 3.510051, 0
2.118476, 3.571895, 0
2.135184, 3.635765, 0
2.151557, 3.698357, 0
2.16829, 3.76232, 0
2.184889, 3.825773, 0
2.201948, 3.890988, 0
2.218423, 3.953965, 0
2.234916, 4.017014, 0
2.269273, 4.14832, 0
2.285131, 4.20892, 0
2.302524, 4.275383, 0
2.318746, 4.337363, 0
2.335515, 4.401436, 0
2.352387, 4.465899, 0
2.36833, 4.526813, 0
2.385038, 4.590647, 0
2.401571, 4.653805, 0
2.418288, 4.717663, 0
2.435184, 4.782202, 0
2.451774, 4.845564, 0
2.468764, 4.910441, 0
2.484739, 4.971437, 0
2.501371, 5.03493, 0
2.518074, 5.09868, 0
2.535783, 5.166264, 0
2.551693, 5.226977, 0
2.568751, 5.292062, 0
2.585186, 5.354771, 0
2.601706, 5.417802, 0
