Time, Distance From Path, Angle From Next Waypoint
10.21955, 0.02727589, 0
10.23609, 0.05434848, 0
10.25259, 0.08176403, 0
10.26941, 0.1103242, 0
10.2868, 0.1405125, 0
10.30255, 0.168665, 0
10.31928, 0.1995387, 0
10.33591, 0.2311994, 0
10.35265, 0.2640255, 0
10.36956, 0.2983509, 0
10.38596, 0.332803, 0
10.40249, 0.3687399, 0
10.4193, 0.4065511, 0
10.43619, 0.4458973, 0
10.45253, 0.4852382, 0
10.46945, 0.527212, 0
10.48578, 0.5688819, 0
10.50259, 0.6129244, 0
10.51917, 0.6573959, 0
10.53979, 0.713623, 0
10.55322, 0.7508065, 0
10.5693, 0.7926945, 0
10.58588, 0.8339902, 0
10.60264, 0.8746632, 0
10.62005, 0.9156163, 0
10.63587, 0.9533581, 0
10.65291, 0.9945488, 0
10.66956, 1.035328, 0
10.68601, 1.076101, 0
10.70293, 1.118566, 0
10.71922, 1.159969, 0
10.73585, 1.202705, 0
10.7525, 1.246055, 0
10.76969, 1.29123, 0
10.78615, 1.334869, 0
10.80272, 1.378343, 0
10.81939, 1.419895, 0
10.83581, 1.458673, 0
10.85288, 1.497642, 0
10.86937, 1.534099, 0
10.88642, 1.570564, 0
10.90249, 1.604612, 0
10.91921, 1.638909, 0
10.93659, 1.671721, 0
10.95241, 1.699889, 0
10.96958, 1.727172, 0
10.9864, 1.748243, 0
11.00292, 1.767108, 0
11.01935, 1.78656, 0
11.03638, 1.807455, 0
11.05263, 1.828049, 0
11.06984, 1.85057, 0
11.08575, 1.872075, 0
11.10322, 1.893952, 0
11.11958, 1.912044, 0
11.1362, 1.926139, 0
11.15296, 1.929614, 0
11.16957, 1.925369, 0
11.18612, 1.949573, 0
11.20311, 1.949573, 0
11.21944, 1.949573, 0
11.23583, 1.949573, 0
11.25272, 1.949573, 0
11.26981, 1.949573, 0
11.28671, 1.949573, 0
11.3025, 1.949573, 0
11.31901, 1.949573, 0
11.33603, 1.949573, 0
11.35245, 1.949573, 0
11.36933, 1.949573, 0
11.38602, 1.949573, 0
11.40263, 1.949573, 0
11.41916, 1.949573, 0
11.43622, 1.949573, 0
11.45299, 1.949573, 0
11.4694, 1.949573, 0
11.48575, 1.949573, 0
11.50275, 1.949573, 0
11.5193, 1.949573, 0
