Time, Distance From Path, Angle From Next Waypoint
0.02022679, 0, -33.54935
0.04045358, 0, -33.506
0.06045358, 0, -33.46408
0.06860849, 0, -33.47398
0.08534589, 0, -33.4907
0.1020091, 0, -33.48461
0.1184733, 0, -33.51648
0.1350303, 0, -33.47758
0.1514848, 0, -33.47219
0.1683419, 0, -33.45254
0.1851034, 0, -33.44501
0.2021946, 0, -33.42482
0.2183658, 0, -33.42184
0.2346111, 0, -33.39455
0.2519352, 0, -33.3887
0.2678601, 0, -33.37836
0.2844834, 0, -33.3932
0.3016753, 0, -33.4202
0.3176948, 0, -33.42899
0.3343617, 0, -33.44957
0.3512016, 0, -33.45815
0.3678253, 0, -33.46367
0.3847594, 0, -33.43813
0.4010205, 0, -33.45598
0.4179007, 0, -33.41502
0.434479, 0, -33.39166
0.4511209, 0, -33.34238
0.4679399, 0, -33.33424
0.4848053, 0, -33.31317
0.5016823, 0, -33.29377
0.5181623, 0, -33.31174
0.5349684, 0, -33.31708
0.5521579, 0, -33.31863
0.5686162, 0, -33.31786
0.5843309, 0, -33.32425
0.601162, 0, -33.31696
0.6177042, 0, -33.30693
0.634385, 0, -33.28889
0.6513599, 0, -33.29221
0.6676437, 0, -33.27343
0.6864166, 0, -33.26346
0.7021671, 0, -33.25608
0.7191387, 0, -33.24487
0.7357212, 0, -33.25861
0.7511461, 0, -33.25321
0.7679915, 0, -33.27085
0.7851018, 0, -33.27947
0.8018587, 0, -33.29318
0.8187932, 0, -33.31328
0.8351249, 0, -33.34412
0.8512779, 0, -33.35081
0.8678094, 0, -33.39586
0.8847772, 0, -33.41883
0.9011515, 0, -33.46557
0.9181663, 0, -33.50015
0.9353526, 0, -33.55701
0.9509069, 0, -33.61948
0.9675465, 0, -33.68317
0.9844165, 0, -33.75447
1.000916, 0, -33.84046
1.018224, 0, -33.91505
1.035498, 0, -33.98363
1.051029, 0, -34.06022
1.067652, 0, -34.11826
1.08418, 0, -34.19059
1.10124, 0, -34.22833
1.118688, 0, -34.28907
1.135251, 0, -34.32713
1.151302, 0, -34.38771
1.167579, 0, -34.40373
1.18521, 0, -34.4281
1.201504, 0, -34.45366
1.217665, 0, -34.47305
1.235098, 0, -34.49928
1.252116, 0, -34.52666
1.268471, 0, -34.5583
1.284861, 0, -34.60976
1.301631, 0, -34.66766
1.318197, 0, -34.71978
1.334536, 0, -34.7962
1.351588, 0, -34.8648
1.367568, 0, -34.95174
1.384184, 0, -35.02002
1.400826, 0, -35.09284
1.417629, 0, -35.16734
1.434801, 0, -35.22846
1.451418, 0, -35.27103
1.467582, 0, -35.31152
1.484656, 0, -35.35443
1.50085, 0, -35.3933
1.51779, 0, -35.41937
1.534502, 0, -35.4546
1.551394, 0, -35.49203
1.568503, 0, -35.51233
1.584492, 0, -35.55196
1.601668, 0, -35.55161
1.617892, 0, -35.58399
1.634429, 0, -35.57272
1.651227, 0, -35.56563
1.66829, 0, -35.55647
1.684571, 0, -35.50635
1.701529, 0, -35.47595
1.718049, 0, -35.42022
1.735261, 0, -35.37032
1.751657, 0, -35.30316
1.767524, 0, -35.23627
1.7844, 0, -35.09011
1.800869, 0, -34.93544
1.817839, 0, -34.67582
1.835702, 0, -34.43838
1.850992, 0, -34.17443
1.867742, 0, -33.88628
1.884245, 0, -33.57299
1.900772, 0, -33.24792
1.918326, 0, -32.88384
1.934771, 0, -32.50201
1.951491, 0, -32.11974
1.968344, 0, -31.71371
1.986074, 0, -31.29522
2.00192, 0, -30.84859
2.017745, 0, -30.42316
2.034042, 0, -29.95596
2.051156, 0, -29.47975
2.067738, 0, -28.96526
2.084154, 0, -28.40137
2.101424, 0, -27.80689
2.118021, 0, -27.15655
2.134265, 0, -26.46426
2.151707, 0, -25.74995
2.168242, 0, -25.06062
2.184173, 0, -24.36431
2.200935, 0, -23.58824
2.217938, 0, -22.75769
2.234665, 0, -21.98198
2.251126, 0, -21.28607
2.267694, 0, -20.68623
2.285052, 0, -20.12462
2.301439, 0, -19.58536
2.318046, 0, -18.94144
2.334636, 0, -18.29865
2.351449, 0, -17.67201
2.36841, 0, -17.06963
2.38534, 0, -16.47624
2.401008, 0, -15.84479
2.417395, 0, -15.11198
2.434168, 0, -14.33813
2.450963, 0, -13.58423
2.467502, 0, -12.88795
2.484977, 0, -12.2236
2.500738, 0, -11.50833
2.517432, 0, -10.72163
2.534298, 0, -9.88913
2.550842, 0, -9.117599
2.567995, 0, -8.360062
2.584604, 0, -7.632248
2.601391, 0, -6.945511
2.6186, 0, -6.340225
2.634714, 0, -5.774033
2.651369, 0, -5.244461
2.667815, 0, -4.734482
2.684887, 0, -4.236526
2.701286, 0, -3.818222
2.718067, 0, -3.436951
2.734518, 0, -3.138901
2.750729, 0, -2.79306
2.767938, 0, -2.390945
2.7848, 0, -1.982254
2.801635, 0, -1.66246
2.818184, 0, -1.351547
2.834584, 0, -1.120895
2.850782, 0, -0.9621277
2.867858, 0, -0.8667755
2.884046, 0, -0.8100739
2.901034, 0, -0.7857056
2.917931, 0, -0.7817535
2.934147, 0, -0.8034515
2.950735, 0, -0.8707428
2.96766, 0, -0.9237061
2.984274, 0, -0.9550934
3.001403, 0, -0.9505005
3.01866, 0, -0.9470367
3.034846, 0, -0.9383087
3.051783, 0, -0.9567719
3.067934, 0, -0.994812
3.084191, 0, -1.048431
