Time, Distance From Path, Angle From Next Waypoint
0.01839398, 0, -22.61335
0.03678796, 0, -22.60272
0.05678796, 0, -23.02718
0.06669776, 0, -23.11029
0.08182867, 0, -23.22256
0.09824885, 0, -23.3407
0.1152446, 0, -23.48292
0.1315307, 0, -23.63269
0.1479899, 0, -23.76633
0.1647171, 0, -23.89887
0.1814025, 0, -24.17344
0.1986009, 0, -24.35971
0.2159973, 0, -24.52272
0.2322997, 0, -24.68969
0.2492096, 0, -24.82565
0.266569, 0, -24.94766
0.2825676, 0, -25.03982
0.299221, 0, -25.10519
0.3163841, 0, -25.1026
0.3332222, 0, -25.07889
0.3492036, 0, -25.08211
0.3662731, 0, -25.06605
0.3821688, 0, -25.02084
0.3994678, 0, -24.92847
0.4160299, 0, -24.88251
0.4328485, 0, -24.79539
0.4496234, 0, -24.72504
0.4662189, 0, -24.64051
0.4827518, 0, -24.52515
0.5001932, 0, -24.44286
0.5153528, 0, -24.36314
0.5319312, 0, -24.26384
0.5484678, 0, -24.23607
0.5646027, 0, -24.21935
0.5814194, 0, -24.22636
0.5988979, 0, -24.25034
0.6158774, 0, -24.30903
0.6316043, 0, -24.39326
0.6489881, 0, -24.43349
0.6652469, 0, -24.45954
0.6824898, 0, -24.40755
0.6992202, 0, -24.37968
0.7154837, 0, -24.38736
0.7321417, 0, -24.39336
0.7487692, 0, -24.36714
0.7650419, 0, -24.34352
0.7818114, 0, -24.30867
0.7991549, 0, -24.26472
0.8148641, 0, -24.24542
0.8319971, 0, -24.21175
0.8485569, 0, -24.18158
0.8648472, 0, -24.1482
0.8814979, 0, -24.11137
0.898661, 0, -24.08079
0.915494, 0, -24.08401
0.9318951, 0, -24.04783
0.9485078, 0, -24.02751
0.9651492, 0, -24.00954
0.982137, 0, -23.97976
0.9990237, 0, -23.96983
1.031839, 0, -23.99816
1.049594, 0, -24.02291
1.065839, 0, -24.02018
1.082013, 0, -24.03612
1.09925, 0, -24.06461
1.116083, 0, -24.07982
1.132274, 0, -24.10211
1.148795, 0, -24.11749
1.165926, 0, -24.16373
1.181418, 0, -24.16861
1.198166, 0, -24.18237
1.214661, 0, -24.17357
1.231365, 0, -24.19476
1.24807, 0, -24.18076
1.265343, 0, -24.19454
1.281381, 0, -24.1862
1.298562, 0, -24.17591
1.315568, 0, -24.16386
1.332129, 0, -24.14768
1.348559, 0, -24.15005
1.364767, 0, -24.12532
1.381901, 0, -24.13714
1.399209, 0, -24.12563
1.414904, 0, -24.11358
1.431679, 0, -24.10432
1.448221, 0, -24.11117
1.465114, 0, -24.10162
1.482433, 0, -24.07963
1.498969, 0, -24.04742
1.515883, 0, -24.0282
1.532274, 0, -23.9842
1.547956, 0, -23.94764
1.565143, 0, -23.91148
1.58152, 0, -23.8755
1.598451, 0, -23.85146
1.615318, 0, -23.8204
1.631739, 0, -23.80521
1.648346, 0, -23.76741
1.665402, 0, -23.74681
1.681643, 0, -23.72858
1.698534, 0, -23.72304
1.715629, 0, -23.69763
1.732335, 0, -23.69871
1.748627, 0, -23.68281
1.765849, 0, -23.70419
1.781703, 0, -23.70177
1.798966, 0, -23.71252
1.814913, 0, -23.73107
1.83225, 0, -23.75404
1.848596, 0, -23.79686
1.865781, 0, -23.82951
1.881387, 0, -23.88129
1.898239, 0, -23.92221
1.915067, 0, -23.96231
1.93163, 0, -23.98727
1.948284, 0, -24.02737
1.965374, 0, -24.05029
1.981452, 0, -24.07111
2.001563, 0, -24.0835
2.015515, 0, -24.10246
2.032122, 0, -24.12281
2.048769, 0, -24.16297
2.065221, 0, -24.20737
2.081626, 0, -24.24062
2.098396, 0, -24.29572
2.114758, 0, -24.342
2.132117, 0, -24.38494
