Time, Distance From Path, Angle From Next Waypoint
0.01975189, 0, -4.865601
0.03950379, 0, -4.83963
0.05950379, 0, -3.613808
0.06943446, 0, -3.591759
0.08481765, 0, -3.570023
0.1009573, 0, -3.553917
0.1176181, 0, -3.478935
0.1341172, 0, -3.499397
0.1508861, 0, -3.456139
0.1677352, 0, -3.427315
0.1843224, 0, -3.395798
0.2013251, 0, -3.369148
0.2176752, 0, -3.334846
0.2343853, 0, -3.306831
0.2514941, 0, -3.299263
0.2677812, 0, -3.273773
0.2845418, 0, -3.283813
0.3010835, 0, -3.259377
0.31766, 0, -3.27153
0.3345565, 0, -3.271805
0.3511302, 0, -3.284729
0.3679515, 0, -3.282463
0.3849973, 0, -3.331612
0.401238, 0, -3.385216
0.4181451, 0, -3.42424
0.4343005, 0, -3.500465
0.4510899, 0, -3.681725
0.4672072, 0, -4.052826
0.4838982, 0, -4.243233
0.5010716, 0, -4.551361
0.5183293, 0, -4.801033
0.5342222, 0, -5.027084
0.5506892, 0, -5.194214
0.5674428, 0, -5.318306
0.5840453, 0, -5.39183
0.6007243, 0, -5.411224
0.6174979, 0, -5.409668
0.6339946, 0, -5.397209
0.6511364, 0, -5.344345
0.667392, 0, -5.270729
0.6839582, 0, -5.139427
0.7007225, 0, -5.014374
0.7182219, 0, -4.874016
0.7344844, 0, -4.737152
0.7516438, 0, -4.575043
0.7679661, 0, -4.42926
0.7850462, 0, -4.28923
0.801113, 0, -4.145973
0.8178717, 0, -4.027702
0.8346866, 0, -3.908089
0.8507965, 0, -3.837944
0.8673401, 0, -3.75351
0.8845158, 0, -3.685318
0.9007514, 0, -3.6399
0.917933, 0, -3.617287
0.9345814, 0, -3.627983
0.9507094, 0, -3.658569
0.967304, 0, -3.688553
0.983982, 0, -3.731583
1.001489, 0, -3.795586
1.017804, 0, -3.840187
1.034415, 0, -3.904495
1.050542, 0, -3.948853
1.067886, 0, -4.007896
1.084652, 0, -4.033302
1.100788, 0, -4.0877
1.118014, 0, -4.107986
1.134967, 0, -4.132202
1.15204, 0, -4.144157
1.167995, 0, -4.153839
1.184209, 0, -4.171379
1.200727, 0, -4.155769
1.217578, 0, -4.156792
1.234049, 0, -4.115822
1.250846, 0, -4.085175
1.267324, 0, -4.016022
1.283906, 0, -3.936287
1.30075, 0, -3.829323
1.317856, 0, -3.696236
1.334534, 0, -3.568832
1.351074, 0, -3.443787
1.367263, 0, -3.292694
1.384287, 0, -3.143456
1.400842, 0, -2.957985
1.417477, 0, -2.771317
1.434088, 0, -2.572021
1.4508, 0, -2.379822
1.467401, 0, -2.190247
1.484625, 0, -1.96627
1.501099, 0, -1.761612
1.517486, 0, -1.518196
1.534678, 0, -1.30304
1.551741, 0, -1.081833
1.56841, 0, -0.8444366
1.584669, 0, -0.6109314
1.600614, 0, -0.3406525
1.617464, 0, -0.06599426
1.633788, 0, 0.2089081
1.650953, 0, 0.4955139
1.66728, 0, 0.7789307
1.684477, 0, 1.095947
1.700596, 0, 1.455872
1.717664, 0, 1.826416
1.734368, 0, 2.221466
1.753529, 0, 2.619781
1.784137, 0, 3.373535
1.801293, 0, 3.747681
1.818221, 0, 4.105789
1.834144, 0, 4.499664
1.850919, 0, 4.919937
1.867532, 0, 5.344421
1.88409, 0, 5.742065
1.901136, 0, 6.12468
1.91734, 0, 6.514816
1.934058, 0, 6.865433
1.950773, 0, 7.239822
1.967631, 0, 7.614502
1.984772, 0, 8.006226
2.000946, 0, 8.366364
2.018311, 0, 8.748444
2.033802, 0, 9.239517
2.05055, 0, 9.89859
2.067754, 0, 10.61629
2.083929, 0, 11.3838
2.101206, 0, 12.14484
2.117283, 0, 12.90462
2.134838, 0, 13.62863
2.150909, 0, 14.33458
2.167405, 0, 15.03123
2.184298, 0, 15.70097
2.201165, 0, 16.33553
2.218435, 0, 16.93501
2.234475, 0, 17.5065
2.251143, 0, 18.04178
2.267796, 0, 18.55568
2.283866, 0, 19.02635
2.300908, 0, 19.46152
2.317555, 0, 19.91074
2.334278, 0, 20.35779
2.350629, 0, 20.79698
2.367168, 0, 21.23283
2.383959, 0, 21.67625
2.400531, 0, 22.12314
2.418083, 0, 22.62987
2.434906, 0, 23.11606
2.451373, 0, 23.59105
2.467302, 0, 24.06494
2.483875, 0, 24.55128
2.500678, 0, 25.01157
2.517188, 0, 25.50188
2.533924, 0, 25.97333
2.550776, 0, 26.45488
2.567488, 0, 26.86357
2.584146, 0, 27.2863
2.600891, 0, 27.71164
2.618249, 0, 28.09698
2.634922, 0, 28.49118
2.65051, 0, 28.87256
2.667394, 0, 29.25368
2.683823, 0, 29.64836
2.700562, 0, 30.03493
