Time, Distance From Path, Angle From Next Waypoint
0.01950517, 0, -42.01696
0.03901034, 0, -41.91898
0.05901034, 0, -42.5196
0.08196038, 0, -41.62581
0.09777488, 0, -41.22997
0.1139854, 0, -40.01661
0.1305095, 0, -39.36172
0.1470864, 0, -39.19538
0.1636471, 0, -39.06747
0.1800659, 0, -38.98324
0.1969731, 0, -39.09662
0.2139015, 0, -39.34261
0.2299521, 0, -39.36226
0.2468008, 0, -39.36189
0.2632349, 0, -39.40198
0.2806021, 0, -39.43958
0.2970148, 0, -39.42871
0.3137986, 0, -39.40245
0.3301339, 0, -39.28491
0.3467257, 0, -39.21618
0.3635276, 0, -39.11655
0.3802631, 0, -39.07687
0.3967673, 0, -38.95956
0.4132802, 0, -38.8594
0.4299415, 0, -38.733
0.4464123, 0, -38.64164
0.4636964, 0, -38.51283
0.4809347, 0, -38.38909
0.4973359, 0, -38.27694
0.5141062, 0, -38.15622
0.5307063, 0, -38.05338
0.5468687, 0, -38.00061
0.5634943, 0, -37.94594
0.5804158, 0, -37.90659
0.597028, 0, -37.90356
0.6133457, 0, -37.9066
0.6305102, 0, -37.94881
0.6467792, 0, -37.99693
0.6633501, 0, -38.10686
0.6803843, 0, -38.18437
0.6971983, 0, -38.26874
0.7141527, 0, -38.34489
0.7300321, 0, -38.41281
0.7465799, 0, -38.44386
0.7634072, 0, -38.49165
0.7798265, 0, -38.54312
0.7965634, 0, -38.59506
0.8130879, 0, -38.63185
0.8301055, 0, -38.66912
0.8465976, 0, -38.71938
0.8638316, 0, -38.75882
0.8800283, 0, -38.80556
0.8966382, 0, -38.83325
0.9138384, 0, -38.88628
0.9307247, 0, -38.92151
0.9467813, 0, -38.9758
0.9632534, 0, -39.0042
0.9797394, 0, -39.03413
0.9966424, 0, -39.05292
1.013126, 0, -39.05936
1.030557, 0, -39.07412
1.046512, 0, -39.06818
1.063447, 0, -39.062
1.07985, 0, -39.04543
1.096609, 0, -39.04118
1.113251, 0, -39.01695
1.130676, 0, -39.01516
1.146779, 0, -38.9899
1.163348, 0, -38.993
1.180637, 0, -38.97336
1.197428, 0, -38.98106
1.213337, 0, -38.98045
1.230359, 0, -38.98075
1.247106, 0, -38.97353
1.263298, 0, -38.98519
1.280395, 0, -39.0016
1.296843, 0, -39.01353
1.313509, 0, -39.03591
1.330127, 0, -39.04546
1.34712, 0, -39.0788
1.363116, 0, -39.08671
1.380401, 0, -39.11194
1.397031, 0, -39.11584
1.413122, 0.03943397, -39.90115
1.429717, 0.08007216, -40.75291
1.446396, 0.1208747, -41.62554
1.4631, 0.1616803, -42.4859
1.480754, 0.2047559, -43.41737
1.496822, 0.2439293, -44.29612
1.514224, 0.2863321, -45.26272
1.53033, 0.3255378, -46.17253
1.547012, 0.3660834, -47.11439
1.563783, 0.3660834, -47.0413
1.580107, 0.3660834, -46.93365
1.59736, 0.3660834, -46.85868
1.613651, 0.3660834, -46.78132
1.630045, 0.3660834, -46.72478
1.646692, 0.3660834, -46.67419
1.663136, 0.3660834, -46.63791
1.680036, 0.3660834, -46.6171
1.696577, 0.3660834, -46.63541
1.713371, 0.3660834, -46.65247
1.729952, 0.3660834, -46.69443
1.747426, 0.3660834, -46.70982
1.763375, 0.3660834, -46.70332
1.779815, 0.3660834, -46.68187
1.796385, 0.3660834, -46.64687
1.812934, 0.3660834, -46.60857
1.829573, 0.3660834, -46.56071
1.84705, 0.3660834, -46.55403
1.863066, 0.3660834, -46.55657
1.880072, 0.3660834, -46.5869
1.896545, 0.3660834, -46.62952
1.913423, 0.3660834, -46.67594
1.93024, 0.3660834, -46.74227
1.946922, 0.3660834, -46.79602
1.963949, 0.3660834, -46.85995
1.980747, 0.3660834, -46.93354
1.997419, 0.3660834, -46.99968
2.013248, 0.3660834, -47.0605
2.030062, 0.3660834, -47.16158
2.046885, 0.3660834, -47.2142
2.063076, 0.3660834, -47.28435
2.0797, 0.3660834, -47.35453
2.096592, 0.3660834, -47.424
2.113422, 0.3660834, -47.4893
2.130071, 0.3660834, -47.56259
2.146291, 0.3660834, -47.6229
2.163943, 0.3660834, -47.69997
2.180083, 0.3660834, -47.76659
2.196515, 0.3660834, -47.85107
2.213781, 0.3660834, -47.93311
2.230587, 0.3660834, -48.02215
2.246907, 0.3660834, -48.12389
2.263217, 0.3660834, -48.22119
2.280104, 0.3660834, -48.34967
2.296583, 0.3660834, -48.45792
2.313191, 0.3660834, -48.6132
2.330167, 0.3660834, -48.75738
2.347007, 0.3660834, -48.93135
2.363615, 0.3660834, -49.17039
2.380545, 0.3660834, -49.49549
2.396324, 0.3660834, -49.903
2.412964, 0.3660834, -50.35694
2.429746, 0.3660834, -50.84111
2.446418, 0.3660834, -51.45094
2.46301, 0.3660834, -52.11476
2.479735, 0.3660834, -52.83562
2.496688, 0.3660834, -53.67225
2.51397, 0.3660834, -54.70789
2.529645, 0.3660834, -55.73515
2.546741, 0.3660834, -56.92402
2.563288, 0.3660834, -58.04879
2.580055, 0.3660834, -59.09817
2.597719, 0.3660834, -60.10235
2.613429, 0.3660834, -61.01594
2.630322, 0.3660834, -61.78089
2.646883, 0.3660834, -62.40669
2.663193, 0.3660834, -62.89946
2.680366, 0.3660834, -63.2708
2.696609, 0.3660834, -63.52489
2.713341, 0.3660834, -63.65173
2.730115, 0.3660834, -63.55087
2.746532, 0.3660834, -63.42892
2.763268, 0.3660834, -63.20298
2.779861, 0.3660834, -62.88048
2.797024, 0.3660834, -62.30476
2.813358, 0.4165296, -62.89954
2.829552, 0.4660758, -63.40272
2.84612, 0.5162371, -63.88971
2.863143, 0.5671576, -64.33096
2.880039, 0.6169964, -64.67393
2.896683, 0.6169964, -63.48962
2.913144, 0.6169964, -62.40257
2.930519, 0.6169964, -61.26024
2.946334, 0.6169964, -60.12146
2.963391, 0.6169964, -58.99538
2.979972, 0.6607904, -59.21844
2.997054, 0.7051295, -59.61512
3.013965, 0.7483396, -60.13231
3.03011, 0.7890267, -60.72841
3.047116, 0.8313709, -61.52827
3.063584, 0.8720772, -62.53163
3.079925, 0.8720772, -62.17046
3.096811, 0.8720772, -61.90371
3.11423, 0.8720772, -61.72823
3.129664, 0.8720772, -61.62262
3.146426, 0.8720772, -61.57405
3.162928, 0.8720772, -61.58114
3.179721, 0.8720772, -61.68842
3.196335, 0.8720772, -61.75597
3.216544, 0.8720772, -61.88207
3.230559, 0.8720772, -61.94209
3.246392, 0.8720772, -62.02262
3.263068, 0.8720772, -62.11388
3.279801, 0.8720772, -62.19664
3.296572, 0.8720772, -62.25603
3.313074, 0.8720772, -62.32355
3.32946, 0.8720772, -62.33745
3.346368, 0.8720772, -62.34167
3.363258, 0.8720772, -62.28915
3.379789, 0.8720772, -62.21944
3.39657, 0.8720772, -62.1125
3.413523, 0.8720772, -61.99686
