Time, Distance From Path, Angle From Next Waypoint
0.01914018, 0, -16.09201
0.03828036, 0, -16.48285
0.05828036, 0, -16.96591
0.07063793, 0, -16.83919
0.08616443, 0, -16.64107
0.1030025, 0, -16.46658
0.1199838, 0, -16.28085
0.1362421, 0, -16.06429
0.1532833, 0, -15.81375
0.1694753, 0, -15.55389
0.1865369, 0, -15.27483
0.2030183, 0, -15.02693
0.2192567, 0, -14.77785
0.2359996, 0, -14.57652
0.2527509, 0, -14.43184
0.2697323, 0, -14.31165
0.2863982, 0, -14.24789
0.3028193, 0, -14.16554
0.3193652, 0, -14.10835
0.3360085, 0, -14.08775
0.3526939, 0, -14.11578
0.3697253, 0, -14.1062
0.3858942, 0, -14.14856
0.4027165, 0, -14.17458
0.4191492, 0, -14.23094
0.4359125, 0, -14.26173
0.4533975, 0, -14.30289
0.4696475, 0, -14.33958
0.4866478, 0, -14.3808
0.5036255, 0, -14.41766
0.5205395, 0, -14.44168
0.5362191, 0, -14.47665
0.5529138, 0, -14.50499
0.5699364, 0, -14.55569
0.5862629, 0, -14.61458
0.6031816, 0, -14.67435
0.619144, 0, -14.73338
0.6357998, 0, -14.76924
0.6523967, 0, -14.78497
0.6691424, 0, -14.79425
0.6865723, 0, -14.77304
0.7028468, 0, -14.73479
0.7192063, 0, -14.71239
0.7359706, 0, -14.67412
0.7524663, 0, -14.66379
0.7691156, 0, -14.62555
0.7859393, 0, -14.58371
0.8042349, 0, -14.54041
0.8194438, 0, -14.5024
0.8359711, 0, -14.4539
0.8530011, 0, -14.39613
0.8691815, 0, -14.31479
0.8863869, 0, -14.22604
0.9032388, 0, -14.11726
0.9196145, 0, -14.01295
0.936075, 0, -13.86636
0.9526469, 0, -13.74193
0.9691473, 0, -13.60692
0.9860099, 0, -13.47101
1.002421, 0, -13.34143
1.019475, 0, -13.20921
1.035936, 0, -13.10062
1.052361, 0, -12.98026
1.069031, 0, -12.87976
1.085823, 0, -12.77934
1.102898, 0, -12.68616
