Time, Distance From Path, Angle From Next Waypoint
5.163223, 0.06177959, 0
5.193603, 0.1093713, 0
5.228082, 0.161873, 0
5.279703, 0.237573, 0
5.313343, 0.2860628, 0
5.345857, 0.3321206, 0
5.378189, 0.3778021, 0
5.415694, 0.4313443, 0
5.443342, 0.4709212, 0
5.480838, 0.5246595, 0
5.529692, 0.5946963, 0
5.572291, 0.6553283, 0
5.601126, 0.6960131, 0
5.630585, 0.7371945, 0
5.661564, 0.7803062, 0
5.696704, 0.829218, 0
5.742806, 0.8935478, 0
5.7825, 0.9488845, 0
5.811219, 0.9889679, 0
5.847267, 1.039564, 0
5.878717, 1.083872, 0
5.91194, 1.130666, 0
5.975015, 1.21911, 0
6.023089, 1.286598, 0
6.05644, 1.333488, 0
6.08863, 1.378777, 0
6.122856, 1.427068, 0
6.173738, 1.498925, 0
6.205898, 1.544284, 0
6.2412, 1.594179, 0
6.276157, 1.643654, 0
6.309773, 1.691245, 0
6.340927, 1.735194, 0
6.390367, 1.805097, 0
6.421359, 1.849004, 0
6.455919, 1.897911, 0
6.493603, 1.951057, 0
6.522973, 1.992177, 0
6.555228, 2.037065, 0
6.607218, 2.109202, 0
6.63156, 2.142983, 0
6.662562, 2.186095, 0
6.697647, 2.234945, 0
6.730485, 2.280532, 0
6.788521, 2.360857, 0
6.841361, 2.433827, 0
6.871401, 2.475316, 0
6.907427, 2.524987, 0
6.942162, 2.572802, 0
6.973424, 2.615817, 0
7.02218, 2.683076, 0
7.057003, 2.731087, 0
7.09028, 2.776808, 0
7.123495, 2.822167, 0
7.156431, 2.866908, 0
7.190176, 2.912671, 0
7.234202, 2.972514, 0
7.273331, 3.025999, 0
7.303807, 3.067747, 0
7.342079, 3.120266, 0
7.371037, 3.16, 0
7.395556, 3.193692, 0
7.457098, 3.278613, 0
7.48288, 3.314276, 0
7.538801, 3.391447, 0
7.573149, 3.438789, 0
7.606906, 3.485259, 0
7.638687, 3.529046, 0
7.692336, 3.603342, 0
7.723452, 3.646394, 0
7.757221, 3.692794, 0
7.789309, 3.736555, 0
7.824445, 3.784245, 0
7.858704, 3.830673, 0
7.907248, 3.896177, 0
7.938781, 3.938498, 0
7.971192, 3.981737, 0
8.007207, 4.029438, 0
8.041206, 4.074152, 0
8.074183, 4.117332, 0
8.122474, 4.180065, 0
8.147924, 4.212787, 0
8.18527, 4.260244, 0
8.219445, 4.303374, 0
8.272081, 4.369167, 0
8.305614, 4.410489, 0
8.357048, 4.472556, 0
8.388642, 4.510309, 0
8.423902, 4.55195, 0
8.458589, 4.592026, 0
8.488736, 4.626225, 0
8.539615, 4.682192, 0
8.573361, 4.718583, 0
8.607407, 4.754333, 0
8.643058, 4.790513, 0
8.675368, 4.821852, 0
8.70511, 4.848765, 0
8.756028, 4.848765, 0
8.782152, 4.848765, 0
8.82248, 4.848765, 0
8.854177, 4.848765, 0
8.880478, 4.848765, 0
8.913447, 4.848765, 0
8.974613, 4.848765, 0
9.021621, 4.848765, 0
9.055376, 4.848765, 0
9.087665, 4.848765, 0
9.120954, 4.848765, 0
9.155556, 4.848765, 0
9.189055, 4.848765, 0
9.222687, 4.848765, 0
9.256862, 4.848765, 0
9.289026, 4.848765, 0
9.323645, 4.848765, 0
9.357775, 4.848765, 0
9.391686, 4.848765, 0
9.421749, 4.848765, 0
9.455259, 4.848765, 0
9.488439, 4.848765, 0
9.522422, 4.848765, 0
9.555897, 4.848765, 0
9.588765, 4.848765, 0
9.622074, 4.848765, 0
9.653948, 4.848765, 0
9.679257, 4.848765, 0
9.714161, 4.848765, 0
9.77151, 4.783639, 0
9.804211, 4.745793, 0
9.838199, 4.706018, 0
9.873787, 4.664332, 0
9.906564, 4.626278, 0
9.939144, 4.589221, 0
9.976083, 4.54819, 0
10.00721, 4.54819, 0
10.03991, 4.54819, 0
10.09023, 4.54819, 0
10.12137, 4.54819, 0
10.15434, 4.54819, 0
10.19133, 4.54819, 0
10.22292, 4.54819, 0
10.2566, 4.54819, 0
10.29799, 4.54819, 0
10.33821, 4.54819, 0
10.37079, 4.54819, 0
10.39495, 4.54819, 0
10.42938, 4.54819, 0
10.46456, 4.54819, 0
10.52213, 4.54819, 0
10.55413, 4.54819, 0
10.58735, 4.54819, 0
10.62103, 4.54819, 0
10.65722, 4.54819, 0
10.68963, 4.54819, 0
10.72343, 4.54819, 0
10.75578, 4.54819, 0
10.78901, 4.54819, 0
10.82307, 4.54819, 0
10.85874, 4.54819, 0
10.89013, 4.54819, 0
10.92087, 4.54819, 0
10.95624, 4.54819, 0
10.9884, 4.54819, 0
11.02148, 4.54819, 0
11.05325, 4.54819, 0
11.09014, 4.54819, 0
11.11978, 4.54819, 0
11.14499, 4.54819, 0
11.17976, 4.54819, 0
11.21376, 4.54819, 0
11.27208, 4.54819, 0
11.30489, 4.54819, 0
11.33875, 4.54819, 0
11.37166, 4.54819, 0
11.40572, 4.54819, 0
11.43944, 4.54819, 0
11.47167, 4.54819, 0
11.51001, 4.54819, 0
11.53869, 4.54819, 0
11.57343, 4.54819, 0
11.60473, 4.54819, 0
11.63809, 4.54819, 0
11.6757, 4.54819, 0
11.70398, 4.54819, 0
11.73888, 4.54819, 0
11.77357, 4.54819, 0
11.8056, 4.54819, 0
11.83634, 4.54819, 0
11.86165, 4.54819, 0
11.89824, 4.54819, 0
11.92965, 4.54819, 0
11.99071, 4.54819, 0
12.02121, 4.54819, 0
12.05516, 4.54819, 0
12.08723, 4.54819, 0
12.12133, 4.54819, 0
12.15717, 4.54819, 0
12.18936, 4.54819, 0
12.22298, 4.54819, 0
12.25599, 4.54819, 0
12.28955, 4.54819, 0
12.32371, 4.54819, 0
12.35468, 4.54819, 0
12.39073, 4.54819, 0
12.4217, 4.54819, 0
12.45621, 4.54819, 0
12.48876, 4.54819, 0
12.52332, 4.54819, 0
12.55119, 4.54819, 0
12.5891, 4.54819, 0
12.61965, 4.54819, 0
12.64575, 4.54819, 0
12.67953, 4.54819, 0
12.7392, 4.54819, 0
12.7711, 4.54819, 0
12.80454, 4.54819, 0
12.83759, 4.54819, 0
12.8714, 4.54819, 0
12.90777, 4.54819, 0
12.9416, 4.54819, 0
12.97519, 4.54819, 0
13.00606, 4.54819, 0
13.03952, 4.54819, 0
13.07307, 4.54819, 0
13.10657, 4.54819, 0
13.13899, 4.54819, 0
13.1704, 4.54819, 0
13.20367, 4.54819, 0
13.23833, 4.54819, 0
13.27296, 4.54819, 0
13.30252, 4.54819, 0
13.33873, 4.54819, 0
13.36915, 4.54819, 0
13.39577, 4.54819, 0
13.4331, 4.54819, 0
13.48869, 4.54819, 0
13.52189, 4.505838, 0
13.55458, 4.463441, 0
13.5886, 4.419014, 0
13.62237, 4.374971, 0
13.6549, 4.332511, 0
13.71006, 4.261253, 0
