Time, Distance From Path, Angle From Next Waypoint
14.79867, 0.006809563, 0
14.81957, 0.01577384, 0
14.84168, 0.02331017, 0
14.85387, 0.02619448, 0
14.87027, 0.02860804, 0
14.88682, 0.02968643, 0
14.90399, 0.02964479, 0
14.92078, 0.0285284, 0
14.93733, 0.02646163, 0
14.95406, 0.0235147, 0
14.97094, 0.01978509, 0
14.99027, 0.01487477, 0
15.00591, 0.006658847, 0
15.02217, 0.004182054, 0
15.03911, 0.01585243, 0
15.05532, 0.02739813, 0
15.07202, 0.03965526, 0
15.08896, 0.05245604, 0
15.10658, 0.06610651, 0
15.12256, 0.07880631, 0
15.13791, 0.09130552, 0
15.15405, 0.1047598, 0
15.17023, 0.1185127, 0
15.18675, 0.1328302, 0
15.20356, 0.1477247, 0
15.2205, 0.1630773, 0
15.2404, 0.181535, 0
15.25353, 0.19398, 0
15.2701, 0.2100303, 0
15.28698, 0.226706, 0
15.30368, 0.2435682, 0
15.32042, 0.2607673, 0
15.33674, 0.277801, 0
15.35341, 0.2954202, 0
15.37018, 0.313429, 0
15.38698, 0.3317511, 0
15.40381, 0.3503632, 0
15.42009, 0.3685867, 0
15.43727, 0.387383, 0
15.4536, 0.4053708, 0
15.47006, 0.4185322, 0
15.48734, 0.4324845, 0
15.50369, 0.4457504, 0
15.5205, 0.4594291, 0
15.53728, 0.4730374, 0
15.55449, 0.4869448, 0
15.57132, 0.5004007, 0
15.59166, 0.5163807, 0
15.60584, 0.5273055, 0
15.62232, 0.5397099, 0
15.64397, 0.5555351, 0
15.65732, 0.5649962, 0
15.67239, 0.5753273, 0
15.68987, 0.5868689, 0
15.70559, 0.5968587, 0
15.72084, 0.6061565, 0
15.73676, 0.6154932, 0
15.75395, 0.6251937, 0
15.77029, 0.6340998, 0
15.78696, 0.6429005, 0
15.80377, 0.6515383, 0
15.82024, 0.6597711, 0
15.83733, 0.6681309, 0
15.85338, 0.6758208, 0
15.87104, 0.6841515, 0
15.88727, 0.6916964, 0
15.90419, 0.6994757, 0
15.92033, 0.7068276, 0
15.9369, 0.7142962, 0
15.95405, 0.7219644, 0
15.97079, 0.7293767, 0
15.98759, 0.7367573, 0
16.00367, 0.7437581, 0
