Time, Distance From Path, Angle From Next Waypoint
7.784591, 0.07473011, 0
7.79822, 0.1271262, 0
7.81451, 0.1897593, 0
7.831765, 0.2561159, 0
7.848941, 0.3221797, 0
7.86454, 0.3822009, 0
7.881699, 0.4482519, 0
7.898563, 0.5132111, 0
7.91556, 0.5787134, 0
7.932029, 0.6422054, 0
7.947844, 0.7032059, 0
7.964727, 0.7683533, 0
7.981586, 0.8334264, 0
7.999207, 0.9014626, 0
8.014573, 0.9607986, 0
8.031716, 1.027006, 0
8.048179, 1.090589, 0
8.06566, 1.158112, 0
8.082248, 1.222186, 0
8.098339, 1.284344, 0
8.114883, 1.348249, 0
8.131765, 1.413455, 0
8.148414, 1.477752, 0
8.164855, 1.541238, 0
8.182096, 1.607801, 0
8.199115, 1.607801, 0
8.215019, 1.607801, 0
8.232193, 1.607801, 0
8.249812, 1.607801, 0
8.266548, 1.672416, 0
8.281641, 1.730683, 0
8.29786, 1.793308, 0
8.314688, 1.858288, 0
8.331471, 1.923108, 0
8.348375, 1.988402, 0
8.365805, 2.055729, 0
8.38223, 2.119176, 0
8.398961, 2.183806, 0
8.415549, 2.247883, 0
8.431649, 2.310071, 0
8.449957, 2.380786, 0
8.466432, 2.444413, 0
8.481444, 2.502393, 0
8.498568, 2.568518, 0
8.514858, 2.631429, 0
8.531061, 2.694005, 0
8.548331, 2.76071, 0
8.565023, 2.825187, 0
8.581841, 2.890161, 0
8.598313, 2.953815, 0
8.615338, 2.953815, 0
8.634802, 2.953815, 0
8.647816, 2.953815, 0
8.664632, 2.953815, 0
8.681942, 2.953815, 0
8.699125, 2.953815, 0
8.714782, 2.953815, 0
8.731365, 2.953815, 0
8.748774, 2.953815, 0
8.764544, 2.953815, 0
8.781424, 2.953815, 0
8.798182, 2.953815, 0
8.814964, 2.953815, 0
8.832181, 2.953815, 0
8.848372, 2.953815, 0
8.864951, 2.953815, 0
8.881494, 2.953815, 0
8.898392, 2.953815, 0
8.915888, 2.953815, 0
8.93159, 2.953815, 0
8.949048, 2.953815, 0
8.965387, 2.953815, 0
8.98114, 2.953815, 0
8.998179, 2.953815, 0
9.015534, 2.953815, 0
9.031507, 2.953815, 0
